,False,True
2020-12-16,0,0
2020-12-17,7,0
2020-12-18,7,0
2020-12-19,7,0
2020-12-20,14,0
2020-12-21,21,0
2020-12-22,28,14
2020-12-23,49,14
2020-12-24,49,14
2020-12-25,49,14
2020-12-26,49,14
2020-12-27,49,14
2020-12-28,49,14
2020-12-29,56,14
2020-12-30,91,14
2020-12-31,98,14
2021-01-01,105,14
2021-01-02,147,28
2021-01-03,147,35
2021-01-04,168,35
2021-01-05,210,49
2021-01-06,252,70
2021-01-07,896,280
2021-01-08,3878,1204
2021-01-09,9772,2751
2021-01-10,11977,3311
2021-01-11,16513,4564
2021-01-12,25361,6811
2021-01-13,36575,9576
2021-01-14,53494,13545
2021-01-15,71806,18032
2021-01-16,89432,22078
2021-01-17,96838,23723
2021-01-18,110159,27006
2021-01-19,126259,30940
2021-01-20,141575,34965
2021-01-21,181076,43652
2021-01-22,231651,54978
2021-01-23,278383,64197
2021-01-24,292061,66976
2021-01-25,312053,71932
2021-01-26,334355,77616
2021-01-27,353801,82761
2021-01-28,373464,87983
2021-01-29,390964,92785
2021-01-30,405216,95991
2021-01-31,409073,96901
2021-02-01,417088,99225
2021-02-02,425425,101941
2021-02-03,433608,104671
2021-02-04,442491,107548
2021-02-05,451759,110404
2021-02-06,458787,112245
2021-02-07,462112,113106
2021-02-08,467649,114919
2021-02-09,473760,117026
2021-02-10,480725,119441
2021-02-11,486969,121541
2021-02-12,493094,123599
2021-02-13,497287,124782
2021-02-14,498806,125188
2021-02-15,501193,125958
2021-02-16,503321,126686
2021-02-17,505372,127386
2021-02-18,507374,128023
2021-02-19,509082,128548
2021-02-20,510272,128856
2021-02-21,510678,128968
2021-02-22,511658,129290
2021-02-23,513030,129738
2021-02-24,514339,130193
2021-02-25,515802,130634
2021-02-26,517132,131019
2021-02-27,517881,131243
2021-02-28,518161,131306
2021-03-01,518826,131530
2021-03-02,519771,131824
2021-03-03,520772,132153
2021-03-04,522158,132580
2021-03-05,523747,133035
2021-03-06,524762,133280
2021-03-07,524986,133364
2021-03-08,525539,133518
2021-03-09,526323,133742
2021-03-10,527170,133980
2021-03-11,528003,134232
2021-03-12,528899,134484
2021-03-13,529585,134617
2021-03-14,529844,134673
2021-03-15,530334,134820
2021-03-16,530971,134988
2021-03-17,531531,135156
2021-03-18,531916,135268
2021-03-19,532364,135394
2021-03-20,532693,135457
2021-03-21,532805,135471
2021-03-22,533015,135527
2021-03-23,533463,135611
2021-03-24,533603,135639
total,2130338,428449
