,False,True
2020-12-16,0,0
2020-12-17,7,0
2020-12-18,7,0
2020-12-19,7,0
2020-12-20,14,0
2020-12-21,28,0
2020-12-22,35,0
2020-12-23,42,7
2020-12-24,56,7
2020-12-25,56,7
2020-12-26,56,7
2020-12-27,56,7
2020-12-28,56,7
2020-12-29,63,7
2020-12-30,91,14
2020-12-31,98,14
2021-01-01,119,14
2021-01-02,161,14
2021-01-03,168,14
2021-01-04,182,28
2021-01-05,231,35
2021-01-06,280,35
2021-01-07,1057,119
2021-01-08,4501,574
2021-01-09,11144,1386
2021-01-10,13552,1736
2021-01-11,18662,2415
2021-01-12,28350,3829
2021-01-13,40635,5516
2021-01-14,59080,7973
2021-01-15,79254,10591
2021-01-16,98287,13216
2021-01-17,106253,14301
2021-01-18,120827,16331
2021-01-19,138341,18851
2021-01-20,155351,21189
2021-01-21,197939,26789
2021-01-22,252588,34034
2021-01-23,302148,40439
2021-01-24,316666,42378
2021-01-25,338541,45451
2021-01-26,363020,48944
2021-01-27,384482,52073
2021-01-28,406140,55314
2021-01-29,425579,58170
2021-01-30,440881,60326
2021-01-31,445046,60928
2021-02-01,453957,62356
2021-02-02,463596,63770
2021-02-03,472913,65366
2021-02-04,483014,67025
2021-02-05,493500,68663
2021-02-06,501228,69804
2021-02-07,504868,70343
2021-02-08,511203,71358
2021-02-09,518273,72520
2021-02-10,526393,73780
2021-02-11,533526,74977
2021-02-12,540638,76055
2021-02-13,545356,76713
2021-02-14,547022,76972
2021-02-15,549731,77420
2021-02-16,552209,77805
2021-02-17,554561,78197
2021-02-18,556878,78519
2021-02-19,558789,78834
2021-02-20,560105,79016
2021-02-21,560560,79086
2021-02-22,561694,79268
2021-02-23,563255,79513
2021-02-24,564774,79758
2021-02-25,566412,80024
2021-02-26,567882,80269
2021-02-27,568736,80381
2021-02-28,569037,80423
2021-03-01,569807,80542
2021-03-02,570892,80717
2021-03-03,572040,80885
2021-03-04,573615,81123
2021-03-05,575414,81368
2021-03-06,576548,81494
2021-03-07,576814,81536
2021-03-08,577402,81655
2021-03-09,578291,81767
2021-03-10,579264,81886
2021-03-11,580216,82019
2021-03-12,581210,82166
2021-03-13,581931,82264
2021-03-14,582211,82299
2021-03-15,582750,82404
2021-03-16,583429,82530
2021-03-17,584073,82621
2021-03-18,584507,82677
2021-03-19,585011,82740
2021-03-20,585368,82789
2021-03-21,585480,82803
2021-03-22,585704,82838
2021-03-23,586173,82901
2021-03-24,586313,82929
total,2252047,306740
