,False,True
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,56,28
2020-12-02,56,28
2020-12-03,56,28
2020-12-04,56,28
2020-12-05,56,28
2020-12-06,56,28
2020-12-07,70,28
2020-12-08,980,511
2020-12-09,2632,1183
2020-12-10,5061,2184
2020-12-11,7518,3185
2020-12-12,9310,3885
2020-12-13,10402,4228
2020-12-14,13188,5334
2020-12-15,42847,19229
2020-12-16,95298,43610
2020-12-17,144368,66423
2020-12-18,181391,82488
2020-12-19,228067,103243
2020-12-20,263536,118664
2020-12-21,285110,127939
2020-12-22,323764,146069
2020-12-23,353899,159943
2020-12-24,360626,163212
2020-12-25,360633,163219
2020-12-26,360654,163226
2020-12-27,360857,163275
2020-12-28,361340,163492
2020-12-29,373072,169008
2020-12-30,400988,182077
2020-12-31,420371,191058
2021-01-01,424746,193018
2021-01-02,430395,195720
2021-01-03,432103,196399
2021-01-04,433706,197078
2021-01-05,438963,199535
2021-01-06,450268,204785
2021-01-07,504084,229775
2021-01-08,575855,261254
2021-01-09,637903,289779
2021-01-10,665623,302078
2021-01-11,679924,308441
2021-01-12,717787,325591
2021-01-13,782264,353206
2021-01-14,855148,384377
2021-01-15,942298,422541
2021-01-16,1028601,460908
2021-01-17,1065407,476819
2021-01-18,1088416,487284
2021-01-19,1157296,515529
2021-01-20,1217734,540253
2021-01-21,1274196,564165
2021-01-22,1343475,593978
2021-01-23,1402660,618541
2021-01-24,1419579,626157
2021-01-25,1437975,634795
2021-01-26,1458030,644511
2021-01-27,1476419,653576
2021-01-28,1500954,665616
2021-01-29,1525300,677201
2021-01-30,1544046,685426
2021-01-31,1551179,688604
2021-02-01,1559754,693203
2021-02-02,1568084,697928
2021-02-03,1576869,702632
2021-02-04,1585549,707490
2021-02-05,1593851,711914
2021-02-06,1599850,714931
2021-02-07,1602713,716373
2021-02-08,1607494,719145
2021-02-09,1613073,722344
2021-02-10,1619436,726075
2021-02-11,1625498,729421
2021-02-12,1631413,732529
2021-02-13,1635305,734489
2021-02-14,1636628,735203
2021-02-15,1638728,736400
2021-02-16,1640905,737485
2021-02-17,1643131,738626
2021-02-18,1645210,739781
2021-02-19,1646904,740684
2021-02-20,1648003,741258
2021-02-21,1648395,741440
2021-02-22,1649305,741944
2021-02-23,1650705,742707
2021-02-24,1652252,743512
2021-02-25,1653967,744345
2021-02-26,1655563,745101
2021-02-27,1656480,745528
2021-02-28,1656795,745661
2021-03-01,1657418,745927
2021-03-02,1658265,746361
2021-03-03,1659287,746837
2021-03-04,1660435,747488
2021-03-05,1661821,748174
2021-03-06,1662717,748566
2021-03-07,1662955,748671
2021-03-08,1663417,748909
2021-03-09,1664208,749322
2021-03-10,1664978,749770
2021-03-11,1665671,750127
2021-03-12,1666413,750484
2021-03-13,1666987,750715
2021-03-14,1667176,750806
2021-03-15,1667603,750995
2021-03-16,1668128,751254
2021-03-17,1668611,751471
2021-03-18,1668947,751646
2021-03-19,1669290,751814
2021-03-20,1669542,751926
2021-03-21,1669633,751961
2021-03-22,1669794,752038
2021-03-23,1670004,752129
2021-03-24,1670123,752178
2021-03-25,1670130,752178
total,1775725,783069
