,1,2,3,4,5,0
2020-11-29,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0
2020-12-01,0,14,42,14,0,0
2020-12-02,0,14,42,14,0,0
2020-12-03,0,14,49,14,0,0
2020-12-04,0,14,49,14,0,0
2020-12-05,0,14,49,21,0,0
2020-12-06,0,14,49,21,0,0
2020-12-07,0,14,56,21,7,0
2020-12-08,98,210,301,427,420,7
2020-12-09,413,595,777,931,1036,35
2020-12-10,798,1162,1400,1771,2030,70
2020-12-11,1162,1666,2065,2646,3052,98
2020-12-12,1400,2016,2639,3311,3717,105
2020-12-13,1540,2226,2982,3654,4095,119
2020-12-14,1890,2828,3815,4627,5208,147
2020-12-15,7525,9947,13790,14875,15386,539
2020-12-16,16618,22113,29981,33502,35539,1113
2020-12-17,25305,33726,45703,50456,53893,1687
2020-12-18,32984,42336,56840,62615,66955,2121
2020-12-19,42917,53669,70686,77637,83524,2863
2020-12-20,49392,62363,81389,89285,96369,3367
2020-12-21,53256,67284,87626,97090,104195,3570
2020-12-22,60676,75838,98812,110859,119595,4018
2020-12-23,66150,82411,107233,121835,131754,4438
2020-12-24,67389,83734,109298,124334,134526,4529
2020-12-25,67389,83734,109298,124334,134526,4529
2020-12-26,67389,83741,109312,124341,134547,4529
2020-12-27,67431,83769,109354,124383,134638,4529
2020-12-28,67550,83895,109480,124509,134848,4536
2020-12-29,69804,87122,112952,128562,138887,4725
2020-12-30,74718,94325,121198,138544,149037,5229
2020-12-31,77784,98686,127428,145341,156541,5621
2021-01-01,78274,99484,128898,146804,158466,5817
2021-01-02,79051,100688,130669,148638,161168,5880
2021-01-03,79268,100954,131089,149100,162176,5894
2021-01-04,79583,101360,131516,149555,162848,5901
2021-01-05,80374,102634,133203,151186,165130,5936
2021-01-06,82327,105448,136507,155001,169708,6048
2021-01-07,91154,117992,152551,174132,191478,6531
2021-01-08,103215,134701,173705,199332,218869,7266
2021-01-09,113820,148099,191849,221060,244769,8071
2021-01-10,118265,154308,200270,230587,255654,8582
2021-01-11,120862,157542,204351,235312,261639,8638
2021-01-12,126742,165459,214788,248612,278873,8876
2021-01-13,137116,179620,233793,271313,304178,9436
2021-01-14,149604,196763,255087,296226,331912,9919
2021-01-15,165333,216944,280735,325269,365715,10815
2021-01-16,180096,237867,308476,353612,397432,12005
2021-01-17,186186,246351,320733,365743,410753,12425
