,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,1225,7
2020-12-09,3374,35
2020-12-10,6258,70
2020-12-11,9345,77
2020-12-12,11578,98
2020-12-13,12922,105
2020-12-14,16156,126
2020-12-15,54712,553
2020-12-16,122605,1253
2020-12-17,185458,1925
2020-12-18,232092,2457
2020-12-19,289555,3157
2020-12-20,334789,3696
2020-12-21,363776,4011
2020-12-22,416647,4578
2020-12-23,456295,5082
2020-12-24,466396,5201
2020-12-25,466410,5201
2020-12-26,466438,5201
2020-12-27,466669,5208
2020-12-28,467327,5215
2020-12-29,483105,5383
2020-12-30,520065,5740
2020-12-31,546406,6041
2021-01-01,552216,6111
2021-01-02,559951,6209
2021-01-03,562205,6230
2021-01-04,564823,6265
2021-01-05,573244,6370
2021-01-06,591087,6566
2021-01-07,664482,7441
2021-01-08,757211,8533
2021-01-09,844928,9590
2021-01-10,884415,10080
2021-01-11,900816,10290
2021-01-12,945014,10773
2021-01-13,1022371,11690
2021-01-14,1104180,12579
2021-01-15,1205253,13734
2021-01-16,1306977,14987
2021-01-17,1350118,15484
2021-01-18,1366743,15701
2021-01-19,1442903,16660
2021-01-20,1507877,17465
2021-01-21,1539657,17871
2021-01-22,1576337,18305
2021-01-23,1603868,18683
2021-01-24,1611827,18795
2021-01-25,1613878,18830
2021-01-26,1615635,18865
2021-01-27,1618449,18893
2021-01-28,1629866,19075
2021-01-29,1643257,19299
2021-01-30,1652623,19453
2021-01-31,1658104,19530
2021-02-01,1660890,19586
2021-02-02,1662801,19621
2021-02-03,1665321,19663
2021-02-04,1667029,19698
2021-02-05,1667624,19705
2021-02-06,1667778,19712
2021-02-07,1667869,19719
2021-02-08,1668037,19719
2021-02-09,1668548,19733
2021-02-10,1669262,19740
2021-02-11,1670263,19768
2021-02-12,1671096,19782
2021-02-13,1671579,19789
2021-02-14,1671698,19803
2021-02-15,1671824,19803
2021-02-16,1672237,19803
2021-02-17,1672846,19817
2021-02-18,1673441,19824
2021-02-19,1673770,19831
2021-02-20,1673952,19831
2021-02-21,1674001,19831
2021-02-22,1674099,19831
2021-02-23,1674533,19838
2021-02-24,1675205,19838
2021-02-25,1676003,19859
2021-02-26,1676794,19866
2021-02-27,1677263,19880
2021-02-28,1677445,19880
2021-03-01,1677536,19880
2021-03-02,1678306,19887
2021-03-03,1680833,19915
2021-03-04,1683584,19950
2021-03-05,1685075,19971
2021-03-06,1685663,19971
2021-03-07,1685747,19971
2021-03-08,1685880,19978
2021-03-09,1687812,19992
2021-03-10,1690486,20027
2021-03-11,1693076,20055
2021-03-12,1695435,20083
2021-03-13,1696408,20097
2021-03-14,1696604,20097
2021-03-15,1696870,20097
2021-03-16,1697990,20111
2021-03-17,1699733,20132
2021-03-18,1701455,20153
2021-03-19,1703471,20188
2021-03-20,1704185,20195
2021-03-21,1704290,20195
2021-03-22,1704360,20195
2021-03-23,1705508,20202
2021-03-24,1706796,20216
total,2523822,34972
