,False,True
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,14,0
2020-12-05,14,0
2020-12-06,14,0
2020-12-07,14,0
2020-12-08,469,84
2020-12-09,1253,238
2020-12-10,2184,434
2020-12-11,3199,609
2020-12-12,4060,770
2020-12-13,4536,861
2020-12-14,5369,1022
2020-12-15,6874,1309
2020-12-16,8638,1673
2020-12-17,10850,2079
2020-12-18,13069,2520
2020-12-19,14826,2863
2020-12-20,17213,3297
2020-12-21,20195,3885
2020-12-22,22981,4410
2020-12-23,26250,5005
2020-12-24,27762,5299
2020-12-25,27783,5306
2020-12-26,27923,5334
2020-12-27,28350,5411
2020-12-28,29064,5558
2020-12-29,31493,6048
2020-12-30,36155,7077
2020-12-31,40565,8001
2021-01-01,41881,8274
2021-01-02,43456,8603
2021-01-03,44674,8869
2021-01-04,46858,9310
2021-01-05,51086,10171
2021-01-06,56868,11340
2021-01-07,65023,13055
2021-01-08,74214,14994
2021-01-09,81865,16604
2021-01-10,86758,17626
2021-01-11,93569,19075
2021-01-12,101717,20895
2021-01-13,110866,22967
2021-01-14,121093,25214
2021-01-15,132811,27818
2021-01-16,142212,29932
2021-01-17,148309,31241
2021-01-18,156198,32998
2021-01-19,165207,35084
2021-01-20,175140,37415
2021-01-21,185822,39935
2021-01-22,198079,42889
2021-01-23,208656,45311
2021-01-24,214739,46620
2021-01-25,221732,48314
2021-01-26,229957,50330
2021-01-27,238602,52451
2021-01-28,247849,54957
2021-01-29,258545,57568
2021-01-30,267407,59500
2021-01-31,274134,60949
2021-02-01,280763,62531
2021-02-02,289100,64456
2021-02-03,298529,66689
2021-02-04,309365,69314
2021-02-05,321174,72072
2021-02-06,335111,75257
2021-02-07,341761,76713
2021-02-08,349174,78519
2021-02-09,360052,80913
2021-02-10,374836,84252
2021-02-11,394485,88627
2021-02-12,424200,94962
2021-02-13,456736,101619
2021-02-14,474558,105084
2021-02-15,494921,109333
2021-02-16,549871,120883
2021-02-17,651217,142303
2021-02-18,750869,164052
2021-02-19,830445,181762
2021-02-20,913654,200592
2021-02-21,936915,206101
2021-02-22,967883,213241
2021-02-23,1048943,232785
2021-02-24,1167250,261233
2021-02-25,1286376,290157
2021-02-26,1408701,320201
2021-02-27,1507422,344239
2021-02-28,1536059,351120
2021-03-01,1559159,356727
2021-03-02,1588769,363818
2021-03-03,1634318,375536
2021-03-04,1707552,394296
2021-03-05,1799413,418999
2021-03-06,1890091,442876
2021-03-07,1912540,448504
2021-03-08,1938902,455119
2021-03-09,1966475,462140
2021-03-10,1998850,470631
2021-03-11,2027417,478233
2021-03-12,2077754,492450
2021-03-13,2152878,513576
2021-03-14,2186044,522256
2021-03-15,2226147,532819
2021-03-16,2270142,544621
2021-03-17,2308425,554967
2021-03-18,2330790,561008
2021-03-19,2354800,567518
2021-03-20,2382653,575309
2021-03-21,2393692,578200
2021-03-22,2403373,580930
2021-03-23,2412207,583261
2021-03-24,2416435,584549
2021-03-25,2416463,584556
total,3338489,829549
