,1,2,3,4,5,0
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,91,70,91,91,105,0
2020-12-09,245,217,266,266,301,14
2020-12-10,413,420,455,483,532,21
2020-12-11,588,637,658,707,777,28
2020-12-12,721,784,847,910,980,42
2020-12-13,798,882,966,1036,1099,49
2020-12-14,938,1036,1155,1197,1309,56
2020-12-15,1176,1323,1484,1505,1687,70
2020-12-16,1505,1666,1848,1897,2114,98
2020-12-17,1883,2093,2324,2401,2660,119
2020-12-18,2226,2548,2807,2940,3199,147
2020-12-19,2527,2905,3164,3325,3640,168
2020-12-20,2905,3339,3717,3857,4200,203
2020-12-21,3444,3948,4389,4550,4949,245
2020-12-22,3920,4487,5012,5194,5670,280
2020-12-23,4494,5131,5733,5929,6524,315
2020-12-24,4774,5453,6104,6286,6951,329
2020-12-25,4774,5453,6104,6293,6958,329
2020-12-26,4795,5495,6146,6321,6993,329
2020-12-27,4858,5593,6244,6405,7091,336
2020-12-28,4984,5754,6405,6566,7252,357
2020-12-29,5453,6279,6958,7154,7777,385
2020-12-30,6405,7336,8071,8246,8722,434
2020-12-31,7273,8330,9135,9324,9688,490
2021-01-01,7469,8617,9450,9632,10024,504
2021-01-02,7742,8946,9835,9982,10395,518
2021-01-03,7952,9233,10108,10276,10689,539
2021-01-04,8344,9688,10640,10787,11186,574
2021-01-05,9051,10605,11627,11746,12089,623
2021-01-06,10031,11823,12922,13167,13405,672
2021-01-07,11487,13524,14742,15064,15225,770
2021-01-08,13118,15309,16653,17059,17227,854
2021-01-09,14392,16744,18291,18816,18914,931
2021-01-10,15204,17710,19411,19950,20146,980
2021-01-11,16296,18956,20797,21350,21406,1071
2021-01-12,17710,20531,22386,22876,22974,1169
2021-01-13,19306,22351,24171,24661,24612,1281
2021-01-14,20881,24255,26131,26537,26418,1379
2021-01-15,22603,26187,28231,28567,28350,1477
2021-01-16,24073,27811,30016,30324,30079,1582
2021-01-17,25011,28952,31346,31626,31374,1645
2021-01-18,26215,30296,32746,33075,32837,1708
2021-01-19,27706,31976,34510,34797,34461,1799
2021-01-20,29288,33719,36386,36568,36043,1890
2021-01-21,30730,35357,38038,38094,37527,1974
2021-01-22,32277,37072,39809,39767,39018,2044
