,F,M
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,7,0
2020-12-30,28,7
2020-12-31,49,7
2021-01-01,77,7
2021-01-02,105,21
2021-01-03,105,21
2021-01-04,154,42
2021-01-05,280,70
2021-01-06,448,119
2021-01-07,812,203
2021-01-08,1729,406
2021-01-09,2660,637
2021-01-10,3094,756
2021-01-11,4340,1071
2021-01-12,5922,1442
2021-01-13,7623,1855
2021-01-14,9716,2429
2021-01-15,12460,3206
2021-01-16,14322,3766
2021-01-17,15120,4018
2021-01-18,16800,4529
2021-01-19,18410,5026
2021-01-20,20433,5656
2021-01-21,23240,6580
2021-01-22,27104,7749
2021-01-23,29834,8694
2021-01-24,31108,9184
2021-01-25,32914,9856
2021-01-26,34965,10731
2021-01-27,36946,11634
2021-01-28,38871,12495
2021-01-29,41118,13475
2021-01-30,43106,14287
2021-01-31,44310,14805
2021-02-01,45542,15393
2021-02-02,46949,16058
2021-02-03,48524,16765
2021-02-04,50442,17773
2021-02-05,53221,19145
2021-02-06,56357,20993
2021-02-07,58156,22029
2021-02-08,59850,23009
2021-02-09,61565,23877
2021-02-10,63448,24927
2021-02-11,65597,26124
2021-02-12,69076,28161
2021-02-13,73759,30674
2021-02-14,76671,32312
2021-02-15,79926,34167
2021-02-16,83006,35924
2021-02-17,86366,38003
2021-02-18,90769,40985
2021-02-19,95984,44212
2021-02-20,103369,49462
2021-02-21,106008,51415
2021-02-22,109851,54243
2021-02-23,113652,57043
2021-02-24,117719,59892
2021-02-25,123396,63861
2021-02-26,129220,67816
2021-02-27,136010,72751
2021-02-28,139790,75453
2021-03-01,143976,78274
2021-03-02,149282,82215
2021-03-03,156779,88011
2021-03-04,167888,96859
2021-03-05,182819,109340
2021-03-06,199724,123963
2021-03-07,207382,131194
2021-03-08,216475,139692
2021-03-09,229460,152971
2021-03-10,248591,173166
2021-03-11,271789,197771
2021-03-12,305795,234094
2021-03-13,358883,291172
2021-03-14,387240,324569
2021-03-15,439348,383404
2021-03-16,496972,448658
2021-03-17,551572,510972
2021-03-18,581504,544936
2021-03-19,616987,586264
2021-03-20,655214,631981
2021-03-21,673148,655452
2021-03-22,687512,674947
2021-03-23,698908,690025
2021-03-24,703262,695394
2021-03-25,703269,695401
total,1403017,1387435
