,F,M
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,273,91
2020-12-09,798,252
2020-12-10,1295,406
2020-12-11,1820,595
2020-12-12,2289,756
2020-12-13,2597,847
2020-12-14,3150,1001
2020-12-15,4109,1309
2020-12-16,5355,1666
2020-12-17,6930,2100
2020-12-18,8491,2590
2020-12-19,9779,2947
2020-12-20,11606,3479
2020-12-21,13930,4053
2020-12-22,16023,4641
2020-12-23,18445,5306
2020-12-24,19586,5663
2020-12-25,19586,5663
2020-12-26,19670,5705
2020-12-27,19971,5803
2020-12-28,20461,5929
2020-12-29,22092,6377
2020-12-30,25585,7245
2020-12-31,28952,8120
2021-01-01,29904,8351
2021-01-02,30996,8638
2021-01-03,31843,8834
2021-01-04,33530,9296
2021-01-05,36764,10122
2021-01-06,41216,11249
2021-01-07,47537,12866
2021-01-08,54054,14539
2021-01-09,59570,15960
2021-01-10,63203,16835
2021-01-11,67760,17997
2021-01-12,73465,19411
2021-01-13,79611,21056
2021-01-14,86107,22771
2021-01-15,92547,24640
2021-01-16,98168,26159
2021-01-17,102466,27265
2021-01-18,107114,28644
2021-01-19,112539,30226
2021-01-20,118055,31920
2021-01-21,123172,33516
2021-01-22,127995,35049
2021-01-23,132160,36379
2021-01-24,134946,37324
2021-01-25,138089,38437
2021-01-26,141505,39599
2021-01-27,144956,40894
2021-01-28,148547,42196
2021-01-29,152404,43638
2021-01-30,155407,44828
2021-01-31,157598,45696
2021-02-01,159782,46515
2021-02-02,162267,47558
2021-02-03,165060,48713
2021-02-04,167657,49742
2021-02-05,169568,50435
2021-02-06,170940,50967
2021-02-07,171731,51331
2021-02-08,172718,51779
2021-02-09,174321,52556
2021-02-10,176155,53473
2021-02-11,178549,54803
2021-02-12,180754,56056
2021-02-13,182329,57029
2021-02-14,183204,57589
2021-02-15,184030,58058
2021-02-16,187964,60879
2021-02-17,195377,66283
2021-02-18,201754,70861
2021-02-19,206171,74074
2021-02-20,208236,75537
2021-02-21,208887,76027
2021-02-22,209860,76734
2021-02-23,215453,81095
2021-02-24,224784,88263
2021-02-25,233506,95116
2021-02-26,242977,102508
2021-02-27,248815,107247
2021-02-28,250040,108318
2021-03-01,250495,108703
2021-03-02,250873,108934
2021-03-03,251321,109228
2021-03-04,251832,109515
2021-03-05,252525,110005
2021-03-06,252882,110264
2021-03-07,253106,110495
2021-03-08,253386,110740
2021-03-09,253981,111209
2021-03-10,255045,112105
2021-03-11,255815,112672
2021-03-12,256648,113386
2021-03-13,257166,113890
2021-03-14,257348,114100
2021-03-15,257649,114317
2021-03-16,258104,114611
2021-03-17,258699,114989
2021-03-18,259070,115185
2021-03-19,259336,115325
2021-03-20,259462,115430
2021-03-21,259504,115451
2021-03-22,259651,115549
2021-03-23,259854,115640
2021-03-24,259980,115689
total,1403017,1387435
