,False
2020-12-29,168
2020-12-30,469
2020-12-31,770
2021-01-01,861
2021-01-02,1211
2021-01-03,1484
2021-01-04,2121
2021-01-05,2996
2021-01-06,4109
2021-01-07,5467
2021-01-08,6839
2021-01-09,7812
2021-01-10,9093
2021-01-11,9800
2021-01-12,10269
2021-01-13,10549
2021-01-14,10801
2021-01-15,10941
2021-01-16,11039
2021-01-17,11109
2021-01-18,11186
2021-01-19,11249
2021-01-20,11361
2021-01-21,11452
2021-01-22,11508
2021-01-23,11571
2021-01-24,11620
2021-01-25,11662
2021-01-26,11690
2021-01-27,11739
2021-01-28,11844
2021-01-29,12033
2021-01-30,12236
2021-01-31,12446
2021-02-01,12579
2021-02-02,12670
2021-02-03,12901
2021-02-04,13195
2021-02-05,13356
2021-02-06,13384
2021-02-07,13419
2021-02-08,13489
2021-02-09,13720
2021-02-10,14035
2021-02-11,14364
2021-02-12,14721
2021-02-13,14924
2021-02-14,14980
2021-02-15,15113
2021-02-16,15393
2021-02-17,15778
2021-02-18,16226
2021-02-19,16583
2021-02-20,16807
2021-02-21,17052
2021-02-22,17507
2021-02-23,18277
2021-02-24,19334
2021-02-25,20636
2021-02-26,21980
2021-02-27,23086
2021-02-28,23772
2021-03-01,24696
2021-03-02,26243
2021-03-03,28238
2021-03-04,30373
2021-03-05,32137
2021-03-06,33194
2021-03-07,33789
2021-03-08,35581
2021-03-09,38339
2021-03-10,41706
2021-03-11,44835
2021-03-12,47929
2021-03-13,49707
2021-03-14,50715
2021-03-15,53165
2021-03-16,57225
2021-03-17,62279
2021-03-18,65723
2021-03-19,68817
2021-03-20,70693
2021-03-21,71757
2021-03-22,74424
2021-03-23,77889
2021-03-24,80101
2021-03-25,80122
total,3097724
