,False,True
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,7,0
2020-12-22,14,0
2020-12-23,35,7
2020-12-24,42,14
2020-12-25,42,14
2020-12-26,42,14
2020-12-27,42,14
2020-12-28,42,14
2020-12-29,42,14
2020-12-30,42,14
2020-12-31,56,14
2021-01-01,70,14
2021-01-02,70,14
2021-01-03,70,14
2021-01-04,77,14
2021-01-05,91,21
2021-01-06,126,35
2021-01-07,1330,343
2021-01-08,6447,1582
2021-01-09,12880,3073
2021-01-10,14798,3507
2021-01-11,21217,5026
2021-01-12,29092,6902
2021-01-13,37646,8995
2021-01-14,48132,11529
2021-01-15,61243,14749
2021-01-16,69573,16814
2021-01-17,72814,17591
2021-01-18,79051,19103
2021-01-19,85001,20510
2021-01-20,90769,21882
2021-01-21,98161,23730
2021-01-22,110530,26691
2021-01-23,114996,27699
2021-01-24,116837,28091
2021-01-25,118258,28448
2021-01-26,120050,28868
2021-01-27,121933,29309
2021-01-28,123837,29785
2021-01-29,125846,30240
2021-01-30,126742,30485
2021-01-31,127008,30548
2021-02-01,128023,30772
2021-02-02,129241,31010
2021-02-03,130529,31304
2021-02-04,132321,31661
2021-02-05,134232,32123
2021-02-06,135261,32361
2021-02-07,135625,32431
2021-02-08,136738,32718
2021-02-09,138236,33019
2021-02-10,140189,33390
2021-02-11,142198,33838
2021-02-12,144284,34314
2021-02-13,145194,34496
2021-02-14,145369,34545
2021-02-15,146545,34811
2021-02-16,147665,35070
2021-02-17,148680,35266
2021-02-18,149709,35532
2021-02-19,150752,35777
2021-02-20,151221,35861
2021-02-21,151298,35882
2021-02-22,151795,35994
2021-02-23,152544,36134
2021-02-24,153335,36302
2021-02-25,154119,36456
2021-02-26,154693,36596
2021-02-27,155001,36673
2021-02-28,155127,36687
2021-03-01,155533,36750
2021-03-02,156009,36862
2021-03-03,156709,36981
2021-03-04,157507,37128
2021-03-05,158431,37317
2021-03-06,158900,37401
2021-03-07,159012,37408
2021-03-08,159369,37485
2021-03-09,159775,37576
2021-03-10,160272,37681
2021-03-11,160636,37758
2021-03-12,161049,37842
2021-03-13,161371,37891
2021-03-14,161497,37912
2021-03-15,161728,37961
2021-03-16,162148,38038
2021-03-17,162505,38101
2021-03-18,162715,38143
2021-03-19,162876,38171
2021-03-20,162995,38199
2021-03-21,163023,38199
2021-03-22,163121,38227
2021-03-23,163233,38241
2021-03-24,163296,38248
total,244965,57120
