,False,True
2020-12-08,7,0
2020-12-09,21,0
2020-12-10,42,14
2020-12-11,56,21
2020-12-12,70,21
2020-12-13,70,21
2020-12-14,84,21
2020-12-15,217,56
2020-12-16,546,147
2020-12-17,924,259
2020-12-18,1176,322
2020-12-19,1435,378
2020-12-20,1729,434
2020-12-21,2051,497
2020-12-22,2338,567
2020-12-23,3367,833
2020-12-24,4102,994
2020-12-25,4116,1001
2020-12-26,4144,1001
2020-12-27,4151,1001
2020-12-28,4151,1001
2020-12-29,5950,1491
2020-12-30,15274,3710
2020-12-31,21721,5327
2021-01-01,22715,5565
2021-01-02,23415,5747
2021-01-03,23625,5789
2021-01-04,23968,5887
2021-01-05,25452,6237
2021-01-06,28413,6986
2021-01-07,34937,8477
2021-01-08,40460,9786
2021-01-09,42868,10360
2021-01-10,43512,10521
2021-01-11,44149,10682
2021-01-12,44954,10878
2021-01-13,46116,11207
2021-01-14,47236,11515
2021-01-15,48314,11837
2021-01-16,49154,12096
2021-01-17,49448,12201
2021-01-18,49819,12278
2021-01-19,50365,12432
2021-01-20,51016,12600
2021-01-21,51359,12684
2021-01-22,51667,12775
2021-01-23,51954,12852
2021-01-24,52017,12887
2021-01-25,52038,12894
2021-01-26,52087,12908
2021-01-27,52136,12922
2021-01-28,52262,12971
2021-01-29,52542,13055
2021-01-30,52752,13104
2021-01-31,52906,13160
2021-02-01,53025,13188
2021-02-02,53130,13209
2021-02-03,53305,13251
2021-02-04,53459,13300
2021-02-05,53536,13321
2021-02-06,53557,13328
2021-02-07,53564,13328
2021-02-08,53592,13335
2021-02-09,53655,13349
2021-02-10,53774,13391
2021-02-11,53963,13412
2021-02-12,54145,13454
2021-02-13,54243,13475
2021-02-14,54264,13482
2021-02-15,54292,13482
2021-02-16,54376,13517
2021-02-17,54565,13559
2021-02-18,54747,13594
2021-02-19,54866,13622
2021-02-20,54915,13636
2021-02-21,54950,13643
2021-02-22,54964,13643
2021-02-23,55118,13678
2021-02-24,55391,13748
2021-02-25,55734,13825
2021-02-26,56070,13881
2021-02-27,56231,13909
2021-02-28,56252,13923
2021-03-01,56259,13930
2021-03-02,56273,13930
2021-03-03,56350,13951
2021-03-04,56588,14007
2021-03-05,56910,14091
2021-03-06,56973,14112
2021-03-07,56973,14112
2021-03-08,56980,14112
2021-03-09,57029,14119
2021-03-10,57204,14168
2021-03-11,57323,14196
2021-03-12,57491,14238
2021-03-13,57505,14245
2021-03-14,57505,14245
2021-03-15,57505,14245
2021-03-16,57610,14273
2021-03-17,57834,14329
2021-03-18,58009,14378
total,244832,57050
