,F,M
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,49,35
2020-12-02,49,35
2020-12-03,49,35
2020-12-04,56,35
2020-12-05,56,35
2020-12-06,56,35
2020-12-07,63,42
2020-12-08,763,721
2020-12-09,1925,1876
2020-12-10,3633,3591
2020-12-11,5418,5250
2020-12-12,6720,6440
2020-12-13,7469,7112
2020-12-14,9450,9002
2020-12-15,32172,30072
2020-12-16,73045,66045
2020-12-17,112252,98784
2020-12-18,141071,123039
2020-12-19,177968,153524
2020-12-20,206059,176337
2020-12-21,223111,190078
2020-12-22,253932,215999
2020-12-23,277984,235886
2020-12-24,283472,240401
2020-12-25,283479,240401
2020-12-26,283500,240422
2020-12-27,283640,240534
2020-12-28,284032,240842
2020-12-29,293566,248549
2020-12-30,316673,266413
2020-12-31,332990,278446
2021-01-01,336637,281120
2021-01-02,341369,284718
2021-01-03,342741,285733
2021-01-04,344022,286741
2021-01-05,348404,290108
2021-01-06,357721,297360
2021-01-07,401569,332136
2021-01-08,459837,376698
2021-01-09,511868,415037
2021-01-10,534632,432194
2021-01-11,546434,441098
2021-01-12,578200,464394
2021-01-13,630980,503671
2021-01-14,690781,547967
2021-01-15,762811,601069
2021-01-16,835233,653331
2021-01-17,865585,675696
2021-01-18,885255,689528
2021-01-19,940926,730947
2021-01-20,990654,766395
2021-01-21,1038317,799120
2021-01-22,1097236,839258
2021-01-23,1147601,872718
2021-01-24,1162147,882742
2021-01-25,1178800,893193
2021-01-26,1197301,904519
2021-01-27,1214262,915047
2021-01-28,1236466,929390
2021-01-29,1258593,943222
2021-01-30,1275197,953596
2021-01-31,1281420,957684
2021-02-01,1289799,962493
2021-02-02,1298346,967071
2021-02-03,1307145,971810
2021-02-04,1315951,976563
2021-02-05,1324274,980973
2021-02-06,1330161,984116
2021-02-07,1332877,985705
2021-02-08,1337819,988351
2021-02-09,1343601,991368
2021-02-10,1350279,994833
2021-02-11,1356502,998011
2021-02-12,1362424,1001133
2021-02-13,1366204,1003205
2021-02-14,1367569,1003898
2021-02-15,1369725,1005011
2021-02-16,1371874,1006124
2021-02-17,1374065,1007307
2021-02-18,1376214,1008406
2021-02-19,1377936,1009288
2021-02-20,1379042,1009862
2021-02-21,1379406,1010065
2021-02-22,1380337,1010555
2021-02-23,1381730,1011346
2021-02-24,1383305,1012123
2021-02-25,1384943,1013033
2021-02-26,1386469,1013866
2021-02-27,1387344,1014335
2021-02-28,1387638,1014475
2021-03-01,1388226,1014783
2021-03-02,1389073,1015217
2021-03-03,1390032,1015756
2021-03-04,1391201,1016358
2021-03-05,1392503,1017079
2021-03-06,1393315,1017555
2021-03-07,1393525,1017688
2021-03-08,1393945,1017940
2021-03-09,1394645,1018325
2021-03-10,1395331,1018675
2021-03-11,1395646,1018822
2021-03-12,1395758,1018892
total,1481438,1076726
