,False,True
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,315,343
2020-12-30,945,854
2020-12-31,1827,1589
2021-01-01,2037,1750
2021-01-02,2814,2415
2021-01-03,3479,2856
2021-01-04,4858,4039
2021-01-05,25340,20524
2021-01-06,62825,50148
2021-01-07,98721,77245
2021-01-08,123585,96117
2021-01-09,152481,118559
2021-01-10,169820,131635
2021-01-11,174356,134995
2021-01-12,177331,137438
2021-01-13,178899,138761
2021-01-14,179508,139272
2021-01-15,179788,139531
2021-01-16,179942,139650
2021-01-17,179998,139678
2021-01-18,180152,139825
2021-01-19,180355,140000
2021-01-20,180579,140224
2021-01-21,180894,140448
2021-01-22,180915,140476
2021-01-23,180950,140511
2021-01-24,180964,140525
2021-01-25,181006,140560
2021-01-26,181041,140595
2021-01-27,181083,140637
2021-01-28,181153,140693
2021-01-29,181230,140756
2021-01-30,181307,140798
2021-01-31,181454,140889
2021-02-01,181496,140924
2021-02-02,181594,141001
2021-02-03,181713,141099
2021-02-04,181797,141183
2021-02-05,181853,141232
2021-02-06,181860,141246
2021-02-07,181874,141260
2021-02-08,181902,141295
2021-02-09,181972,141358
2021-02-10,182441,141827
2021-02-11,182812,142093
2021-02-12,182924,142170
2021-02-13,182987,142219
2021-02-14,183001,142240
2021-02-15,183043,142282
2021-02-16,183176,142380
2021-02-17,183288,142485
2021-02-18,183463,142688
2021-02-19,183582,142793
2021-02-20,183708,142877
2021-02-21,183764,142912
2021-02-22,184030,143059
2021-02-23,184877,143731
2021-02-24,186270,144858
2021-02-25,187901,146104
2021-02-26,189294,147315
2021-02-27,191009,148533
2021-02-28,192038,149338
2021-03-01,193298,150360
2021-03-02,199598,155358
2021-03-03,211302,164577
2021-03-04,223006,173705
2021-03-05,229978,179116
2021-03-06,234234,182322
2021-03-07,235291,183246
2021-03-08,237013,184632
2021-03-09,246372,191968
2021-03-10,263340,205296
2021-03-11,281295,219527
2021-03-12,298963,233128
2021-03-13,307391,239743
2021-03-14,308371,240464
2021-03-15,309610,241542
2021-03-16,318045,247863
2021-03-17,332654,258706
2021-03-18,336700,261751
2021-03-19,336749,261786
total,1474256,1084643
