,1,2,3,4,5,6
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,707,0,21,7,0,483
2020-12-09,1995,0,56,14,0,1316
2020-12-10,3731,7,98,28,14,2422
2020-12-11,5642,14,140,42,21,3549
2020-12-12,7105,14,175,49,21,4277
2020-12-13,7903,21,189,49,28,4809
2020-12-14,9870,28,252,70,42,5999
2020-12-15,33418,105,1043,336,154,20377
2020-12-16,74501,259,2555,777,350,45640
2020-12-17,111839,392,4200,1246,560,69426
2020-12-18,140392,490,5362,1540,707,86324
2020-12-19,175672,637,6650,1834,889,107282
2020-12-20,203539,735,7693,2051,1029,123718
2020-12-21,221844,805,8344,2198,1127,133707
2020-12-22,256543,903,9072,2394,1232,151263
2020-12-23,282653,952,9429,2485,1344,164619
2020-12-24,289261,987,9625,2513,1372,167944
2020-12-25,289268,987,9625,2513,1372,167951
2020-12-26,289282,987,9625,2513,1372,167965
2020-12-27,289436,987,9625,2513,1372,168049
2020-12-28,289842,987,9646,2513,1372,168280
2020-12-29,299768,1036,10024,2597,1428,173733
2020-12-30,321965,1106,10766,2786,1540,187698
2020-12-31,337316,1155,11298,2926,1603,198198
2021-01-01,340760,1169,11354,2933,1617,200536
2021-01-02,345338,1190,11543,2968,1645,203476
2021-01-03,346682,1190,11571,2975,1645,204379
2021-01-04,348124,1197,11599,2996,1652,205527
2021-01-05,353332,1225,11900,3087,1673,208432
2021-01-06,364679,1274,12488,3241,1743,214305
2021-01-07,410515,1400,13776,3598,1967,240499
2021-01-08,467887,1652,15729,4270,2289,273357
2021-01-09,521409,1862,17514,4865,2576,305305
2021-01-10,545454,1960,18543,5180,2695,319606
2021-01-11,555884,1995,19005,5320,2737,325087
2021-01-12,582617,2086,19747,5467,2828,341943
2021-01-13,629202,2240,21378,5936,3031,371028
2021-01-14,678671,2506,24066,6755,3353,400176
2021-01-15,741510,2828,26285,7679,3682,435624
2021-01-16,803677,3087,28182,8652,4025,472906
2021-01-17,829675,3192,28945,8918,4207,489237
2021-01-18,839566,3234,29246,9058,4270,495628
2021-01-19,886487,3409,30632,9590,4480,523453
2021-01-20,925932,3570,31822,10094,4648,547792
2021-01-21,945021,3647,32445,10388,4725,559755
2021-01-22,966763,3738,33229,10612,4837,573888
2021-01-23,982730,3794,33719,10843,4921,584983
2021-01-24,987749,3808,33838,10913,4942,587839
2021-01-25,988848,3808,33873,10927,4949,588749
2021-01-26,989870,3815,33929,10948,4963,589414
2021-01-27,991382,3822,34006,10997,4977,590618
2021-01-28,998536,3864,34230,11151,5012,594580
2021-01-29,1006621,3920,34482,11389,5054,599515
2021-01-30,1011878,3941,34713,11571,5096,603295
2021-01-31,1015119,3962,34874,11676,5110,605304
2021-02-01,1016687,3976,34965,11746,5131,606382
2021-02-02,1017772,3990,35063,11816,5138,607061
2021-02-03,1019207,3997,35168,11900,5152,607971
2021-02-04,1020145,4018,35245,11949,5159,608629
2021-02-05,1020460,4018,35273,11984,5166,608853
2021-02-06,1020537,4018,35287,11991,5173,608902
2021-02-07,1020600,4018,35287,11998,5173,608937
2021-02-08,1020698,4025,35287,12005,5173,608986
2021-02-09,1020978,4032,35329,12012,5173,609175
2021-02-10,1021370,4032,35392,12040,5173,609406
2021-02-11,1021930,4046,35462,12110,5187,609721
2021-02-12,1022364,4046,35504,12145,5194,610050
2021-02-13,1022609,4046,35546,12180,5201,610204
2021-02-14,1022679,4046,35553,12180,5208,610246
2021-02-15,1022735,4046,35560,12201,5208,610295
2021-02-16,1022903,4060,35616,12236,5208,610435
2021-02-17,1023204,4067,35679,12278,5215,610645
2021-02-18,1023498,4074,35735,12313,5222,610848
2021-02-19,1023652,4074,35770,12334,5236,610960
2021-02-20,1023729,4081,35784,12341,5236,611044
2021-02-21,1023764,4081,35784,12341,5236,611051
2021-02-22,1023806,4088,35798,12348,5236,611086
2021-02-23,1024044,4088,35847,12369,5243,611219
2021-02-24,1024373,4088,35924,12411,5257,611429
2021-02-25,1024807,4102,35994,12446,5257,611667
2021-02-26,1025227,4109,36078,12502,5264,611919
2021-02-27,1025451,4116,36134,12516,5278,612080
2021-02-28,1025528,4116,36141,12530,5278,612164
2021-03-01,1025591,4116,36141,12530,5278,612192
2021-03-02,1026095,4116,36155,12530,5278,612444
2021-03-03,1027999,4123,36197,12544,5285,613004
2021-03-04,1029938,4123,36253,12565,5292,613774
2021-03-05,1030974,4123,36260,12579,5299,614194
2021-03-06,1031282,4123,36288,12593,5299,614453
2021-03-07,1031324,4123,36295,12593,5299,614481
2021-03-08,1031422,4123,36295,12593,5299,614502
2021-03-09,1032913,4130,36302,12600,5299,614929
2021-03-10,1035013,4130,36316,12600,5306,615440
2021-03-11,1036980,4137,36365,12607,5313,615944
2021-03-12,1037750,4137,36379,12614,5320,616084
total,1512819,8526,66003,34517,10941,925337
