,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,1225,7
2020-12-09,3374,28
2020-12-10,6265,56
2020-12-11,9338,84
2020-12-12,11564,105
2020-12-13,12908,112
2020-12-14,16121,154
2020-12-15,54978,490
2020-12-16,123046,1071
2020-12-17,186067,1617
2020-12-18,232820,2023
2020-12-19,290528,2457
2020-12-20,335944,2856
2020-12-21,364938,3108
2020-12-22,417865,3563
2020-12-23,457590,3913
2020-12-24,467712,4004
2020-12-25,467719,4004
2020-12-26,467754,4004
2020-12-27,467992,4004
2020-12-28,468650,4011
2020-12-29,484449,4144
2020-12-30,521437,4459
2020-12-31,547848,4676
2021-01-01,553651,4732
2021-01-02,561400,4795
2021-01-03,563654,4809
2021-01-04,566286,4837
2021-01-05,574763,4914
2021-01-06,592641,5103
2021-01-07,666015,5768
2021-01-08,758646,6573
2021-01-09,846286,7273
2021-01-10,885843,7609
2021-01-11,902293,7749
2021-01-12,946624,8099
2021-01-13,1024121,8736
2021-01-14,1106105,9443
2021-01-15,1207332,10304
2021-01-16,1309413,11144
2021-01-17,1352652,11536
2021-01-18,1369340,11690
2021-01-19,1445717,12355
2021-01-20,1510999,12880
2021-01-21,1542849,13167
2021-01-22,1579634,13468
2021-01-23,1607305,13713
2021-01-24,1615327,13776
2021-01-25,1617392,13790
2021-01-26,1619163,13811
2021-01-27,1621991,13832
2021-01-28,1633499,13916
2021-01-29,1647002,14007
2021-01-30,1656431,14084
2021-01-31,1661954,14119
2021-02-01,1664754,14147
2021-02-02,1666693,14168
2021-02-03,1669248,14175
2021-02-04,1670984,14196
2021-02-05,1671579,14196
2021-02-06,1671726,14203
2021-02-07,1671824,14203
2021-02-08,1671985,14203
2021-02-09,1672510,14203
2021-02-10,1673238,14210
2021-02-11,1674253,14217
2021-02-12,1675093,14224
2021-02-13,1675590,14231
2021-02-14,1675709,14231
2021-02-15,1675835,14231
2021-02-16,1676255,14231
2021-02-17,1676871,14245
2021-02-18,1677459,14245
2021-02-19,1677795,14252
2021-02-20,1677977,14252
2021-02-21,1678033,14252
2021-02-22,1678131,14252
2021-02-23,1678565,14252
2021-02-24,1679244,14259
2021-02-25,1680035,14273
2021-02-26,1680847,14273
2021-02-27,1681316,14280
2021-02-28,1681498,14280
2021-03-01,1681582,14280
2021-03-02,1682352,14287
2021-03-03,1684858,14315
2021-03-04,1687616,14343
2021-03-05,1689093,14350
2021-03-06,1689681,14357
2021-03-07,1689772,14357
2021-03-08,1689898,14364
2021-03-09,1691809,14385
2021-03-10,1694420,14406
2021-03-11,1696933,14427
2021-03-12,1697857,14441
total,2537577,20587
