,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,7
2020-12-31,0,7
2021-01-01,7,7
2021-01-02,7,14
2021-01-03,14,21
2021-01-04,28,42
2021-01-05,42,63
2021-01-06,56,91
2021-01-07,182,287
2021-01-08,651,1106
2021-01-09,1316,2191
2021-01-10,1729,2856
2021-01-11,2338,3913
2021-01-12,3262,5488
2021-01-13,4725,8141
2021-01-14,7595,12922
2021-01-15,11487,19054
2021-01-16,16044,26278
2021-01-17,16702,27384
2021-01-18,18620,30457
2021-01-19,21294,34930
2021-01-20,26957,43386
2021-01-21,52535,82719
2021-01-22,90209,138831
2021-01-23,134400,203665
2021-01-24,149177,225120
2021-01-25,166264,250502
2021-01-26,185962,280056
2021-01-27,202594,304409
2021-01-28,223076,333872
2021-01-29,251062,372463
2021-01-30,278117,409885
2021-01-31,287987,423017
2021-02-01,301938,442554
2021-02-02,313124,458479
2021-02-03,320572,469770
2021-02-04,329868,483273
2021-02-05,340074,497931
2021-02-06,350455,512505
2021-02-07,355166,518714
2021-02-08,359653,525581
2021-02-09,363601,531916
2021-02-10,366744,537593
2021-02-11,369355,542458
2021-02-12,371994,547085
2021-02-13,374696,551180
2021-02-14,375564,552468
2021-02-15,376467,554239
2021-02-16,377146,555625
2021-02-17,377748,556906
2021-02-18,378343,558110
2021-02-19,378903,559209
2021-02-20,379435,560077
2021-02-21,379596,560329
2021-02-22,379855,560917
2021-02-23,380156,561617
2021-02-24,380499,562387
2021-02-25,380933,563290
2021-02-26,381297,564039
2021-02-27,381584,564599
2021-02-28,381731,564830
2021-03-01,381948,565215
2021-03-02,382165,565782
2021-03-03,382452,566377
2021-03-04,382865,567245
2021-03-05,383369,568239
2021-03-06,383782,568946
2021-03-07,383908,569156
2021-03-08,384076,569548
2021-03-09,384258,569989
2021-03-10,384447,570444
2021-03-11,384664,570906
2021-03-12,384902,571417
2021-03-13,385189,571907
2021-03-14,385294,572089
2021-03-15,385476,572404
2021-03-16,385651,572761
2021-03-17,385812,573090
2021-03-18,385938,573321
2021-03-19,386057,573552
2021-03-20,386197,573783
2021-03-21,386246,573853
2021-03-22,386316,573979
2021-03-23,386400,574140
2021-03-24,386463,574231
total,810782,1159410
