,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,7,0
2020-12-28,7,0
2020-12-29,7,0
2020-12-30,7,0
2020-12-31,14,0
2021-01-01,14,0
2021-01-02,35,0
2021-01-03,42,0
2021-01-04,84,0
2021-01-05,112,0
2021-01-06,161,0
2021-01-07,469,0
2021-01-08,1834,7
2021-01-09,3570,28
2021-01-10,4648,35
2021-01-11,6293,56
2021-01-12,8757,91
2021-01-13,12845,126
2021-01-14,20454,175
2021-01-15,30485,252
2021-01-16,42175,350
2021-01-17,43925,364
2021-01-18,48867,413
2021-01-19,55958,476
2021-01-20,69930,581
2021-01-21,134197,1211
2021-01-22,227150,2121
2021-01-23,335237,3129
2021-01-24,371224,3437
2021-01-25,413336,3829
2021-01-26,462154,4298
2021-01-27,502810,4669
2021-01-28,552321,5124
2021-01-29,618478,5670
2021-01-30,682402,6258
2021-01-31,705257,6447
2021-02-01,738472,6741
2021-02-02,765408,6930
2021-02-03,784007,7091
2021-02-04,806631,7301
2021-02-05,831306,7497
2021-02-06,856065,7721
2021-02-07,866929,7798
2021-02-08,878206,7875
2021-02-09,888419,7959
2021-02-10,897155,8043
2021-02-11,904582,8106
2021-02-12,911806,8148
2021-02-13,918540,8225
2021-02-14,920675,8246
2021-02-15,923335,8253
2021-02-16,925407,8260
2021-02-17,927269,8288
2021-02-18,929054,8295
2021-02-19,930713,8309
2021-02-20,932092,8323
2021-02-21,932505,8323
2021-02-22,933345,8330
2021-02-23,934339,8337
2021-02-24,935438,8351
2021-02-25,936775,8358
2021-02-26,937888,8358
2021-02-27,938728,8372
2021-02-28,939099,8372
2021-03-01,939687,8379
2021-03-02,940471,8386
2021-03-03,941353,8400
2021-03-04,942606,8414
2021-03-05,944090,8428
2021-03-06,945210,8428
2021-03-07,945532,8428
2021-03-08,946078,8442
2021-03-09,946708,8442
2021-03-10,947338,8442
2021-03-11,948010,8449
2021-03-12,948752,8456
2021-03-13,949522,8463
2021-03-14,949809,8463
2021-03-15,950306,8470
2021-03-16,950803,8470
2021-03-17,951272,8477
2021-03-18,951440,8477
total,1953077,17143
