,False,True
2020-12-29,21,0
2020-12-30,49,0
2020-12-31,91,0
2021-01-01,91,0
2021-01-02,119,0
2021-01-03,140,0
2021-01-04,189,0
2021-01-05,469,0
2021-01-06,1064,0
2021-01-07,1883,0
2021-01-08,2821,0
2021-01-09,4067,0
2021-01-10,5355,0
2021-01-11,6146,0
2021-01-12,6580,0
2021-01-13,6699,0
2021-01-14,6783,0
2021-01-15,6825,0
2021-01-16,6839,0
2021-01-17,6853,0
2021-01-18,6860,0
2021-01-19,6909,0
2021-01-20,6958,0
2021-01-21,6986,7
2021-01-22,7000,7
2021-01-23,7014,7
2021-01-24,7021,7
2021-01-25,7035,7
2021-01-26,7042,7
2021-01-27,7049,7
2021-01-28,7070,7
2021-01-29,7133,7
2021-01-30,7224,7
2021-01-31,7308,7
2021-02-01,7350,7
2021-02-02,7399,7
2021-02-03,7441,7
2021-02-04,7504,7
2021-02-05,7553,7
2021-02-06,7567,7
2021-02-07,7581,7
2021-02-08,7609,7
2021-02-09,7658,7
2021-02-10,7805,7
2021-02-11,8001,7
2021-02-12,8211,7
2021-02-13,8316,7
2021-02-14,8337,7
2021-02-15,8393,7
2021-02-16,8589,7
2021-02-17,8708,7
2021-02-18,8834,7
2021-02-19,8960,7
2021-02-20,9023,7
2021-02-21,9044,7
2021-02-22,9135,7
2021-02-23,9303,7
2021-02-24,9562,7
2021-02-25,9793,7
2021-02-26,10185,7
2021-02-27,10570,7
2021-02-28,10745,7
2021-03-01,10878,7
2021-03-02,11564,7
2021-03-03,12901,7
2021-03-04,14203,7
2021-03-05,16128,7
2021-03-06,17024,7
2021-03-07,17080,7
2021-03-08,17507,7
2021-03-09,18578,7
2021-03-10,21294,14
2021-03-11,23625,14
2021-03-12,25858,14
2021-03-13,27664,14
2021-03-14,27993,14
2021-03-15,28826,21
2021-03-16,31822,21
2021-03-17,37135,21
2021-03-18,40894,28
2021-03-19,45164,35
2021-03-20,50246,35
2021-03-21,50841,35
2021-03-22,53018,42
2021-03-23,60648,42
2021-03-24,69440,49
2021-03-25,69559,49
total,1967868,2324
