,False,True
2020-12-29,21,0
2020-12-30,49,0
2020-12-31,84,0
2021-01-01,91,0
2021-01-02,119,0
2021-01-03,140,0
2021-01-04,189,0
2021-01-05,469,0
2021-01-06,1057,7
2021-01-07,1855,14
2021-01-08,2793,21
2021-01-09,4018,35
2021-01-10,5299,49
2021-01-11,6083,56
2021-01-12,6510,63
2021-01-13,6629,63
2021-01-14,6720,63
2021-01-15,6755,63
2021-01-16,6776,70
2021-01-17,6783,70
2021-01-18,6797,70
2021-01-19,6846,70
2021-01-20,6888,70
2021-01-21,6923,70
2021-01-22,6937,70
2021-01-23,6944,70
2021-01-24,6958,70
2021-01-25,6965,70
2021-01-26,6972,70
2021-01-27,6986,70
2021-01-28,7014,70
2021-01-29,7077,70
2021-01-30,7168,70
2021-01-31,7259,70
2021-02-01,7294,70
2021-02-02,7343,70
2021-02-03,7385,70
2021-02-04,7448,70
2021-02-05,7490,70
2021-02-06,7511,70
2021-02-07,7525,70
2021-02-08,7553,70
2021-02-09,7602,77
2021-02-10,7749,77
2021-02-11,7938,77
2021-02-12,8141,77
2021-02-13,8253,77
2021-02-14,8274,77
2021-02-15,8330,77
2021-02-16,8519,77
2021-02-17,8638,77
2021-02-18,8764,77
2021-02-19,8890,91
2021-02-20,8953,91
2021-02-21,8974,91
2021-02-22,9065,91
2021-02-23,9226,91
2021-02-24,9478,91
2021-02-25,9716,91
2021-02-26,10101,91
2021-02-27,10493,98
2021-02-28,10654,105
2021-03-01,10794,105
2021-03-02,11466,112
2021-03-03,12803,119
2021-03-04,14091,140
2021-03-05,16016,161
2021-03-06,16898,168
2021-03-07,16954,168
2021-03-08,17367,175
2021-03-09,18431,182
2021-03-10,21112,203
2021-03-11,23394,224
2021-03-12,25606,245
2021-03-13,27384,273
2021-03-14,27699,280
2021-03-15,28525,287
2021-03-16,31479,308
2021-03-17,36554,364
2021-03-18,38584,378
2021-03-19,38584,378
total,1953077,17143
