,False,True
2020-12-08,35,0
2020-12-09,63,0
2020-12-10,133,0
2020-12-11,210,7
2020-12-12,245,7
2020-12-13,266,7
2020-12-14,350,14
2020-12-15,651,28
2020-12-16,1253,56
2020-12-17,2051,105
2020-12-18,2975,154
2020-12-19,4277,210
2020-12-20,5404,266
2020-12-21,6776,329
2020-12-22,7924,385
2020-12-23,9408,434
2020-12-24,9800,462
2020-12-25,9800,462
2020-12-26,9807,462
2020-12-27,9821,462
2020-12-28,9891,462
2020-12-29,10647,504
2020-12-30,13944,658
2020-12-31,18473,868
2021-01-01,20412,938
2021-01-02,22687,1078
2021-01-03,23002,1092
2021-01-04,23247,1099
2021-01-05,24311,1148
2021-01-06,28280,1358
2021-01-07,46914,2205
2021-01-08,71393,3409
2021-01-09,89859,4326
2021-01-10,98105,4718
2021-01-11,103915,4998
2021-01-12,114226,5474
2021-01-13,143045,6909
2021-01-14,173383,8414
2021-01-15,207837,10059
2021-01-16,233702,11242
2021-01-17,247968,11935
2021-01-18,256081,12362
2021-01-19,310352,15169
2021-01-20,368977,18025
2021-01-21,401548,19558
2021-01-22,448259,21798
2021-01-23,490567,23856
2021-01-24,506226,24563
2021-01-25,509523,24731
2021-01-26,513457,24913
2021-01-27,521969,25298
2021-01-28,564361,27244
2021-01-29,654472,31367
2021-01-30,723569,34370
2021-01-31,765639,36246
2021-02-01,787675,37156
2021-02-02,803929,37863
2021-02-03,822605,38647
2021-02-04,833504,39116
2021-02-05,836346,39242
2021-02-06,837291,39284
2021-02-07,837767,39305
2021-02-08,838453,39347
2021-02-09,840448,39417
2021-02-10,842611,39522
2021-02-11,845467,39634
2021-02-12,847644,39704
2021-02-13,848771,39760
2021-02-14,849037,39781
2021-02-15,849191,39795
2021-02-16,849807,39809
2021-02-17,850899,39858
2021-02-18,851767,39893
2021-02-19,852236,39907
2021-02-20,852460,39921
2021-02-21,852516,39921
2021-02-22,852614,39935
2021-02-23,853055,39956
2021-02-24,853846,39991
2021-02-25,854679,40026
2021-02-26,855449,40047
2021-02-27,855869,40082
2021-02-28,855974,40089
2021-03-01,856002,40089
2021-03-02,856030,40096
2021-03-03,856121,40103
2021-03-04,856191,40110
2021-03-05,856275,40110
2021-03-06,856324,40110
2021-03-07,856331,40117
2021-03-08,856345,40117
2021-03-09,856464,40117
2021-03-10,856688,40131
2021-03-11,856779,40138
2021-03-12,856793,40138
total,1880760,85309
