,False,True
2020-12-08,35,0
2020-12-09,70,0
2020-12-10,140,0
2020-12-11,224,0
2020-12-12,266,0
2020-12-13,280,0
2020-12-14,371,0
2020-12-15,686,0
2020-12-16,1316,0
2020-12-17,2170,0
2020-12-18,3143,0
2020-12-19,4501,0
2020-12-20,5698,0
2020-12-21,7133,0
2020-12-22,8323,7
2020-12-23,9863,7
2020-12-24,10283,7
2020-12-25,10290,7
2020-12-26,10290,7
2020-12-27,10304,7
2020-12-28,10374,7
2020-12-29,11200,7
2020-12-30,14651,7
2020-12-31,19460,7
2021-01-01,21532,14
2021-01-02,23947,14
2021-01-03,24332,14
2021-01-04,24577,14
2021-01-05,25669,14
2021-01-06,29855,14
2021-01-07,49595,28
2021-01-08,75635,49
2021-01-09,95158,63
2021-01-10,103810,70
2021-01-11,109942,70
2021-01-12,120757,77
2021-01-13,151123,91
2021-01-14,182966,112
2021-01-15,219093,147
2021-01-16,246197,161
2021-01-17,261177,168
2021-01-18,269871,175
2021-01-19,326970,203
2021-01-20,388556,231
2021-01-21,422660,245
2021-01-22,471646,294
2021-01-23,516033,329
2021-01-24,532420,336
2021-01-25,535885,336
2021-01-26,540050,336
2021-01-27,548933,343
2021-01-28,593306,378
2021-01-29,687498,434
2021-01-30,759689,483
2021-01-31,803642,525
2021-02-01,826581,539
2021-02-02,843542,560
2021-02-03,862981,595
2021-02-04,874328,616
2021-02-05,877282,616
2021-02-06,878269,616
2021-02-07,878766,623
2021-02-08,879501,623
2021-02-09,881559,630
2021-02-10,883820,637
2021-02-11,886774,658
2021-02-12,888993,672
2021-02-13,890169,686
2021-02-14,890456,686
2021-02-15,890624,686
2021-02-16,891254,686
2021-02-17,892381,700
2021-02-18,893291,700
2021-02-19,893781,700
2021-02-20,894019,700
2021-02-21,894075,700
2021-02-22,894173,700
2021-02-23,894642,707
2021-02-24,895461,714
2021-02-25,896315,721
2021-02-26,897113,721
2021-02-27,897561,728
2021-02-28,897673,728
2021-03-01,897701,728
2021-03-02,897736,728
2021-03-03,897827,728
2021-03-04,897911,728
2021-03-05,897995,735
2021-03-06,898037,735
2021-03-07,898051,735
2021-03-08,898072,735
2021-03-09,898191,735
2021-03-10,898436,735
2021-03-11,898625,735
2021-03-12,898737,735
2021-03-13,898793,735
2021-03-14,898807,735
2021-03-15,898877,735
2021-03-16,899045,735
2021-03-17,899318,735
2021-03-18,899500,735
2021-03-19,899717,735
2021-03-20,899885,735
2021-03-21,899920,735
2021-03-22,899948,735
2021-03-23,900095,735
2021-03-24,900277,735
total,1967868,2324
