,False,True
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,189,0
2020-12-30,497,0
2020-12-31,812,0
2021-01-01,889,7
2021-01-02,1260,7
2021-01-03,1526,7
2021-01-04,2093,7
2021-01-05,2877,14
2021-01-06,3920,21
2021-01-07,5075,21
2021-01-08,6335,42
2021-01-09,7511,42
2021-01-10,8764,49
2021-01-11,9415,56
2021-01-12,9863,63
2021-01-13,10178,63
2021-01-14,10416,63
2021-01-15,10549,63
2021-01-16,10626,63
2021-01-17,10675,63
2021-01-18,10731,70
2021-01-19,10822,70
2021-01-20,10927,70
2021-01-21,11018,70
2021-01-22,11060,70
2021-01-23,11095,70
2021-01-24,11116,70
2021-01-25,11158,70
2021-01-26,11200,70
2021-01-27,11249,70
2021-01-28,11368,77
2021-01-29,11557,77
2021-01-30,11739,77
2021-01-31,11921,77
2021-02-01,12033,77
2021-02-02,12145,77
2021-02-03,12348,77
2021-02-04,12551,77
2021-02-05,12698,84
2021-02-06,12768,84
2021-02-07,12852,84
2021-02-08,12943,84
2021-02-09,13132,84
2021-02-10,13419,84
2021-02-11,13769,91
2021-02-12,14119,91
2021-02-13,14378,98
2021-02-14,14455,98
2021-02-15,14651,98
2021-02-16,15057,98
2021-02-17,15554,98
2021-02-18,16009,98
2021-02-19,16604,112
2021-02-20,16835,112
2021-02-21,16996,112
2021-02-22,17486,112
2021-02-23,18214,126
2021-02-24,19334,126
2021-02-25,20671,140
2021-02-26,22092,147
2021-02-27,23429,154
2021-02-28,24080,168
2021-03-01,24843,175
2021-03-02,26411,189
2021-03-03,28763,203
2021-03-04,30856,231
2021-03-05,33915,259
2021-03-06,35833,280
2021-03-07,36358,280
2021-03-08,38017,294
2021-03-09,40558,315
2021-03-10,42693,343
2021-03-11,44177,364
2021-03-12,44660,371
total,4599399,77938
