,False,True
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,49,140
2020-12-30,84,413
2020-12-31,119,693
2021-01-01,133,763
2021-01-02,182,1092
2021-01-03,217,1316
2021-01-04,301,1806
2021-01-05,441,2464
2021-01-06,665,3283
2021-01-07,1001,4116
2021-01-08,1358,5033
2021-01-09,1883,5684
2021-01-10,2415,6419
2021-01-11,2590,6895
2021-01-12,2737,7217
2021-01-13,2821,7434
2021-01-14,2905,7595
2021-01-15,2933,7700
2021-01-16,2947,7756
2021-01-17,2961,7805
2021-01-18,2982,7840
2021-01-19,3010,7903
2021-01-20,3038,7973
2021-01-21,3066,8043
2021-01-22,3080,8071
2021-01-23,3087,8092
2021-01-24,3094,8113
2021-01-25,3101,8148
2021-01-26,3108,8183
2021-01-27,3129,8218
2021-01-28,3171,8295
2021-01-29,3241,8421
2021-01-30,3304,8533
2021-01-31,3395,8638
2021-02-01,3437,8708
2021-02-02,3458,8799
2021-02-03,3535,8925
2021-02-04,3598,9072
2021-02-05,3661,9163
2021-02-06,3682,9205
2021-02-07,3717,9268
2021-02-08,3738,9338
2021-02-09,3787,9478
2021-02-10,3864,9695
2021-02-11,3969,9933
2021-02-12,4081,10171
2021-02-13,4172,10346
2021-02-14,4200,10402
2021-02-15,4249,10535
2021-02-16,4389,10822
2021-02-17,4599,11123
2021-02-18,4753,11431
2021-02-19,4879,11893
2021-02-20,4949,12075
2021-02-21,4991,12194
2021-02-22,5082,12607
2021-02-23,5264,13153
2021-02-24,5579,13986
2021-02-25,5957,14959
2021-02-26,6349,16002
2021-02-27,6685,17017
2021-02-28,6839,17535
2021-03-01,6951,18207
2021-03-02,7406,19348
2021-03-03,8232,20909
2021-03-04,8967,22302
2021-03-05,10297,24101
2021-03-06,10843,25522
2021-03-07,10941,25949
2021-03-08,11347,27244
2021-03-09,12243,29085
2021-03-10,13223,31248
2021-03-11,14273,33467
2021-03-12,15540,35686
2021-03-13,16520,37289
2021-03-14,16856,38038
2021-03-15,17542,39767
2021-03-16,19040,42637
2021-03-17,20755,45766
2021-03-18,21553,46900
2021-03-19,21553,46907
total,2407209,2282994
