,F,M
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,329,112
2020-12-09,777,287
2020-12-10,1337,469
2020-12-11,1897,707
2020-12-12,2436,868
2020-12-13,2653,952
2020-12-14,3066,1120
2020-12-15,3920,1407
2020-12-16,4879,1771
2020-12-17,6076,2247
2020-12-18,7308,2772
2020-12-19,8449,3381
2020-12-20,9716,4060
2020-12-21,11319,4690
2020-12-22,12845,5348
2020-12-23,14588,6181
2020-12-24,15421,6545
2020-12-25,15435,6545
2020-12-26,15505,6587
2020-12-27,15694,6636
2020-12-28,16072,6769
2020-12-29,17318,7336
2020-12-30,19964,8561
2020-12-31,22435,9807
2021-01-01,23163,10101
2021-01-02,24073,10577
2021-01-03,24626,10857
2021-01-04,25606,11249
2021-01-05,27650,12236
2021-01-06,30380,13461
2021-01-07,35077,16058
2021-01-08,40733,19614
2021-01-09,46739,23450
2021-01-10,49462,24906
2021-01-11,52542,26866
2021-01-12,57134,29694
2021-01-13,64043,34321
2021-01-14,72940,40733
2021-01-15,81788,46977
2021-01-16,87612,50547
2021-01-17,92050,53830
2021-01-18,96460,56833
2021-01-19,108696,66458
2021-01-20,125930,80570
2021-01-21,141176,93282
2021-01-22,163758,112609
2021-01-23,191905,137158
2021-01-24,204162,147994
2021-01-25,209104,152096
2021-01-26,215005,157031
2021-01-27,223496,164332
2021-01-28,249081,187439
2021-01-29,298151,231406
2021-01-30,350490,277368
2021-01-31,394632,316372
2021-02-01,421190,340767
2021-02-02,454783,371413
2021-02-03,523950,435911
2021-02-04,577521,485835
2021-02-05,597800,505008
2021-02-06,603995,510405
2021-02-07,606655,512848
2021-02-08,610701,516502
2021-02-09,628292,533260
2021-02-10,647710,551173
2021-02-11,674856,575701
2021-02-12,692657,592025
2021-02-13,701183,599459
2021-02-14,703248,601300
2021-02-15,704788,602665
2021-02-16,711179,609021
2021-02-17,721980,619682
2021-02-18,731682,628572
2021-02-19,738465,634704
2021-02-20,742539,638344
2021-02-21,743596,639261
2021-02-22,745241,640787
2021-02-23,753823,648200
2021-02-24,768677,660331
2021-02-25,784238,672686
2021-02-26,800268,684628
2021-02-27,810523,691985
2021-02-28,812574,693574
2021-03-01,812987,693847
2021-03-02,813316,694050
2021-03-03,813890,694449
2021-03-04,814289,694722
2021-03-05,814800,695065
2021-03-06,815017,695219
2021-03-07,815094,695268
2021-03-08,815206,695303
2021-03-09,815486,695478
2021-03-10,815801,695632
2021-03-11,816109,695814
2021-03-12,816340,695940
2021-03-13,816487,696031
2021-03-14,816543,696066
2021-03-15,816627,696108
2021-03-16,816795,696164
2021-03-17,817005,696283
2021-03-18,817110,696381
total,2523549,2166654
