,False,True
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,7,0
2020-12-05,7,0
2020-12-06,7,0
2020-12-07,7,0
2020-12-08,126,21
2020-12-09,343,49
2020-12-10,581,84
2020-12-11,875,112
2020-12-12,1085,140
2020-12-13,1204,154
2020-12-14,1449,189
2020-12-15,1918,259
2020-12-16,2464,350
2020-12-17,3206,462
2020-12-18,3990,567
2020-12-19,4781,672
2020-12-20,5677,812
2020-12-21,6713,938
2020-12-22,7658,1085
2020-12-23,8722,1239
2020-12-24,9212,1316
2020-12-25,9219,1323
2020-12-26,9254,1330
2020-12-27,9366,1344
2020-12-28,9604,1365
2020-12-29,10388,1505
2020-12-30,12040,1785
2020-12-31,13608,2030
2021-01-01,14063,2100
2021-01-02,14567,2177
2021-01-03,14924,2205
2021-01-04,15561,2275
2021-01-05,16814,2443
2021-01-06,18739,2709
2021-01-07,21714,3164
2021-01-08,25312,3731
2021-01-09,28574,4235
2021-01-10,30275,4529
2021-01-11,32186,4816
2021-01-12,34811,5173
2021-01-13,38234,5677
2021-01-14,42385,6300
2021-01-15,47264,6979
2021-01-16,51009,7525
2021-01-17,53298,7833
2021-01-18,56133,8253
2021-01-19,59927,8764
2021-01-20,64330,9506
2021-01-21,70630,10514
2021-01-22,78470,11823
2021-01-23,86317,13104
2021-01-24,90699,13804
2021-01-25,94717,14469
2021-01-26,99750,15323
2021-01-27,105980,16443
2021-01-28,114989,18200
2021-01-29,127393,20692
2021-01-30,140889,23317
2021-01-31,153685,25872
2021-02-01,167657,28560
2021-02-02,182630,31353
2021-02-03,200634,34881
2021-02-04,224560,39956
2021-02-05,256060,45696
2021-02-06,296478,52885
2021-02-07,319536,56959
2021-02-08,348495,61978
2021-02-09,406777,71407
2021-02-10,497105,85827
2021-02-11,629146,106631
2021-02-12,782950,130767
2021-02-13,948570,155764
2021-02-14,1017051,165767
2021-02-15,1093456,176379
2021-02-16,1196027,191569
2021-02-17,1305689,207564
2021-02-18,1398404,220815
2021-02-19,1463994,229915
2021-02-20,1521268,238189
2021-02-21,1542443,240989
2021-02-22,1570884,244923
2021-02-23,1604323,249907
2021-02-24,1647135,256214
2021-02-25,1690402,262409
2021-02-26,1729721,268072
2021-02-27,1756895,272230
2021-02-28,1769999,273980
2021-03-01,1779897,275289
2021-03-02,1790061,276766
2021-03-03,1801716,278537
2021-03-04,1817102,280875
2021-03-05,1833867,283423
2021-03-06,1848805,285684
2021-03-07,1852802,286237
2021-03-08,1859235,287217
2021-03-09,1864772,288092
2021-03-10,1870323,288995
2021-03-11,1875650,289807
2021-03-12,1883287,290913
2021-03-13,1893087,292320
2021-03-14,1898008,293062
2021-03-15,1903804,293937
2021-03-16,1909047,294735
2021-03-17,1913359,295379
2021-03-18,1915676,295750
2021-03-19,1918301,296128
2021-03-20,1920919,296534
2021-03-21,1921948,296681
2021-03-22,1923040,296863
2021-03-23,1924160,297052
2021-03-24,1924678,297143
2021-03-25,1924685,297143
total,2147733,325444
