,False,True
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,7,0
2020-12-05,7,0
2020-12-06,7,0
2020-12-07,7,0
2020-12-08,140,0
2020-12-09,385,0
2020-12-10,665,0
2020-12-11,980,7
2020-12-12,1218,14
2020-12-13,1351,14
2020-12-14,1624,21
2020-12-15,2149,28
2020-12-16,2786,35
2020-12-17,3612,56
2020-12-18,4494,63
2020-12-19,5376,77
2020-12-20,6405,98
2020-12-21,7539,119
2020-12-22,8610,133
2020-12-23,9814,154
2020-12-24,10367,161
2020-12-25,10374,161
2020-12-26,10416,168
2020-12-27,10549,168
2020-12-28,10794,168
2020-12-29,11690,182
2020-12-30,13608,217
2020-12-31,15400,245
2021-01-01,15918,252
2021-01-02,16471,266
2021-01-03,16863,273
2021-01-04,17549,280
2021-01-05,18949,301
2021-01-06,21133,329
2021-01-07,24521,371
2021-01-08,28616,434
2021-01-09,32326,483
2021-01-10,34286,511
2021-01-11,36435,546
2021-01-12,39375,588
2021-01-13,43260,630
2021-01-14,47957,707
2021-01-15,53424,791
2021-01-16,57652,847
2021-01-17,60207,896
2021-01-18,63399,973
2021-01-19,67634,1029
2021-01-20,72695,1106
2021-01-21,79877,1232
2021-01-22,88837,1421
2021-01-23,97804,1603
2021-01-24,102774,1694
2021-01-25,107352,1792
2021-01-26,113120,1918
2021-01-27,120309,2079
2021-01-28,130893,2261
2021-01-29,145488,2569
2021-01-30,161252,2919
2021-01-31,176316,3213
2021-02-01,192647,3535
2021-02-02,210049,3906
2021-02-03,231112,4375
2021-02-04,259553,4970
2021-02-05,296037,5726
2021-02-06,342818,6587
2021-02-07,369474,7077
2021-02-08,402850,7728
2021-02-09,469364,8953
2021-02-10,572481,10661
2021-02-11,722904,13160
2021-02-12,898030,16051
2021-02-13,1085896,19005
2021-02-14,1163414,20111
2021-02-15,1249213,21420
2021-02-16,1365392,23163
2021-02-17,1489327,25018
2021-02-18,1593795,26572
2021-02-19,1667498,27650
2021-02-20,1732122,28623
2021-02-21,1755775,28966
2021-02-22,1787695,29421
2021-02-23,1825530,30002
2021-02-24,1873949,30730
2021-02-25,1922739,31416
2021-02-26,1967147,32046
2021-02-27,1998010,32522
2021-02-28,2012682,32725
2021-03-01,2023749,32879
2021-03-02,2035250,33026
2021-03-03,2048480,33222
2021-03-04,2065980,33460
2021-03-05,2085006,33761
2021-03-06,2101974,33999
2021-03-07,2106468,34062
2021-03-08,2113790,34167
2021-03-09,2120097,34258
2021-03-10,2126474,34335
2021-03-11,2132522,34426
2021-03-12,2141118,34552
2021-03-13,2152171,34706
2021-03-14,2157757,34776
2021-03-15,2164316,34874
2021-03-16,2170245,34951
2021-03-17,2175096,35007
2021-03-18,2176615,35035
2021-03-19,2176615,35035
total,2435188,37674
