,False,True
2020-12-08,112,0
2020-12-09,336,0
2020-12-10,574,14
2020-12-11,847,21
2020-12-12,1050,28
2020-12-13,1169,35
2020-12-14,1400,35
2020-12-15,1855,56
2020-12-16,2387,63
2020-12-17,3122,84
2020-12-18,3885,112
2020-12-19,4676,126
2020-12-20,5558,154
2020-12-21,6608,189
2020-12-22,7595,217
2020-12-23,8694,252
2020-12-24,9233,259
2020-12-25,9240,259
2020-12-26,9275,259
2020-12-27,9387,266
2020-12-28,9618,273
2020-12-29,10437,294
2020-12-30,12159,343
2020-12-31,13811,385
2021-01-01,14273,392
2021-01-02,14749,406
2021-01-03,15099,413
2021-01-04,15736,434
2021-01-05,16982,476
2021-01-06,18956,525
2021-01-07,21945,602
2021-01-08,25354,679
2021-01-09,28469,756
2021-01-10,30177,812
2021-01-11,31759,854
2021-01-12,33859,924
2021-01-13,36848,994
2021-01-14,40285,1092
2021-01-15,43827,1204
2021-01-16,46823,1274
2021-01-17,48874,1337
2021-01-18,51107,1393
2021-01-19,54194,1477
2021-01-20,57778,1589
2021-01-21,61733,1715
2021-01-22,66885,1862
2021-01-23,72023,2023
2021-01-24,75257,2107
2021-01-25,77217,2156
2021-01-26,79247,2212
2021-01-27,81949,2296
2021-01-28,88102,2499
2021-01-29,97237,2800
2021-01-30,106344,3045
2021-01-31,118538,3437
2021-02-01,128982,3766
2021-02-02,140315,4116
2021-02-03,154350,4550
2021-02-04,167062,4991
2021-02-05,174174,5229
2021-02-06,178437,5376
2021-02-07,180152,5439
2021-02-08,184982,5579
2021-02-09,213780,6503
2021-02-10,259021,7959
2021-02-11,333445,10409
2021-02-12,404166,12803
2021-02-13,447167,14182
2021-02-14,461832,14665
2021-02-15,472878,15113
2021-02-16,511539,16576
2021-02-17,566174,18557
2021-02-18,601342,19803
2021-02-19,619178,20440
2021-02-20,629265,20818
2021-02-21,630658,20860
2021-02-22,632695,20937
2021-02-23,643475,21336
2021-02-24,663159,22057
2021-02-25,681198,22757
2021-02-26,697333,23345
2021-02-27,706251,23681
2021-02-28,708883,23786
2021-03-01,709772,23821
2021-03-02,710213,23835
2021-03-03,710787,23863
2021-03-04,711228,23884
2021-03-05,711585,23898
2021-03-06,711718,23898
2021-03-07,711788,23905
2021-03-08,711858,23905
2021-03-09,712061,23912
2021-03-10,712362,23912
2021-03-11,712551,23926
2021-03-12,712621,23926
total,2391151,77875
