,False,True
2020-12-08,112,0
2020-12-09,329,7
2020-12-10,574,21
2020-12-11,840,35
2020-12-12,1036,42
2020-12-13,1162,42
2020-12-14,1386,49
2020-12-15,1834,77
2020-12-16,2359,98
2020-12-17,3059,147
2020-12-18,3829,168
2020-12-19,4606,196
2020-12-20,5495,224
2020-12-21,6517,287
2020-12-22,7483,336
2020-12-23,8575,378
2020-12-24,9114,392
2020-12-25,9121,392
2020-12-26,9156,392
2020-12-27,9268,406
2020-12-28,9492,413
2020-12-29,10297,448
2020-12-30,12012,518
2020-12-31,13615,616
2021-01-01,14063,637
2021-01-02,14546,644
2021-01-03,14889,672
2021-01-04,15512,693
2021-01-05,16744,749
2021-01-06,18711,826
2021-01-07,21644,952
2021-01-08,24997,1120
2021-01-09,28035,1281
2021-01-10,29708,1372
2021-01-11,31269,1442
2021-01-12,33341,1540
2021-01-13,36267,1687
2021-01-14,39648,1841
2021-01-15,43183,1974
2021-01-16,46102,2135
2021-01-17,48125,2226
2021-01-18,50323,2352
2021-01-19,53375,2464
2021-01-20,56917,2646
2021-01-21,60830,2814
2021-01-22,65905,3066
2021-01-23,70959,3332
2021-01-24,74137,3486
2021-01-25,76041,3584
2021-01-26,78043,3668
2021-01-27,80717,3787
2021-01-28,86758,4088
2021-01-29,95816,4529
2021-01-30,104818,4921
2021-01-31,116788,5551
2021-02-01,127106,6041
2021-02-02,138166,6657
2021-02-03,151830,7518
2021-02-04,164255,8309
2021-02-05,171206,8722
2021-02-06,175399,8953
2021-02-07,177093,9030
2021-02-08,181846,9275
2021-02-09,210007,10843
2021-02-10,254282,13307
2021-02-11,327439,17157
2021-02-12,396977,20937
2021-02-13,439180,23205
2021-02-14,453628,23919
2021-02-15,464541,24528
2021-02-16,502635,26614
2021-02-17,556311,29624
2021-02-18,591052,31395
2021-02-19,608622,32305
2021-02-20,618562,32830
2021-02-21,619920,32907
2021-02-22,621929,33005
2021-02-23,632534,33544
2021-02-24,652022,34552
2021-02-25,669949,35385
2021-02-26,685972,36134
2021-02-27,694806,36589
2021-02-28,697410,36715
2021-03-01,698264,36785
2021-03-02,698691,36806
2021-03-03,699251,36848
2021-03-04,699692,36869
2021-03-05,700049,36883
2021-03-06,700182,36890
2021-03-07,700252,36897
2021-03-08,700315,36904
2021-03-09,700525,36904
2021-03-10,700826,36925
2021-03-11,701113,36939
2021-03-12,701421,36960
2021-03-13,701764,36967
2021-03-14,701785,36967
2021-03-15,701827,36974
2021-03-16,701925,36974
2021-03-17,702093,36981
2021-03-18,702156,36981
total,2356179,116683
