,False,True
2020-12-08,119,0
2020-12-09,350,0
2020-12-10,595,0
2020-12-11,882,0
2020-12-12,1085,0
2020-12-13,1218,0
2020-12-14,1449,0
2020-12-15,1918,0
2020-12-16,2457,0
2020-12-17,3213,0
2020-12-18,4011,0
2020-12-19,4816,0
2020-12-20,5733,0
2020-12-21,6811,0
2020-12-22,7826,0
2020-12-23,8960,0
2020-12-24,9506,0
2020-12-25,9513,0
2020-12-26,9555,0
2020-12-27,9674,0
2020-12-28,9912,0
2020-12-29,10759,0
2020-12-30,12544,0
2020-12-31,14231,0
2021-01-01,14700,0
2021-01-02,15204,0
2021-01-03,15561,0
2021-01-04,16212,0
2021-01-05,17500,0
2021-01-06,19544,0
2021-01-07,22603,0
2021-01-08,26117,0
2021-01-09,29316,0
2021-01-10,31080,0
2021-01-11,32718,0
2021-01-12,34888,0
2021-01-13,37954,0
2021-01-14,41496,0
2021-01-15,45171,0
2021-01-16,48237,0
2021-01-17,50358,0
2021-01-18,52675,0
2021-01-19,55846,0
2021-01-20,59563,0
2021-01-21,63644,0
2021-01-22,68978,0
2021-01-23,74284,0
2021-01-24,77616,0
2021-01-25,79625,0
2021-01-26,81718,0
2021-01-27,84504,0
2021-01-28,90853,0
2021-01-29,100345,0
2021-01-30,109732,0
2021-01-31,122339,0
2021-02-01,133140,0
2021-02-02,144816,7
2021-02-03,159341,7
2021-02-04,172557,7
2021-02-05,179921,7
2021-02-06,184338,7
2021-02-07,186116,7
2021-02-08,191107,7
2021-02-09,220836,14
2021-02-10,267568,21
2021-02-11,344575,28
2021-02-12,417886,35
2021-02-13,462350,35
2021-02-14,477512,35
2021-02-15,489027,42
2021-02-16,529207,42
2021-02-17,585886,49
2021-02-18,622384,56
2021-02-19,640871,56
2021-02-20,651336,56
2021-02-21,652771,56
2021-02-22,654871,56
2021-02-23,666008,70
2021-02-24,686504,70
2021-02-25,705264,70
2021-02-26,722043,70
2021-02-27,731325,70
2021-02-28,734055,70
2021-03-01,734986,70
2021-03-02,735434,70
2021-03-03,736029,70
2021-03-04,736491,70
2021-03-05,736862,70
2021-03-06,737002,70
2021-03-07,737072,70
2021-03-08,737142,70
2021-03-09,737352,70
2021-03-10,737681,70
2021-03-11,737982,77
2021-03-12,738311,77
2021-03-13,738668,77
2021-03-14,738689,77
2021-03-15,738731,77
2021-03-16,738836,77
2021-03-17,738997,77
2021-03-18,739067,77
total,2472603,252
