,False,True
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,21,0
2020-12-30,42,0
2020-12-31,63,0
2021-01-01,112,0
2021-01-02,140,0
2021-01-03,140,0
2021-01-04,238,7
2021-01-05,427,28
2021-01-06,665,35
2021-01-07,1148,70
2021-01-08,2436,133
2021-01-09,3857,224
2021-01-10,4550,266
2021-01-11,6398,378
2021-01-12,8540,504
2021-01-13,10913,644
2021-01-14,13972,819
2021-01-15,18200,1057
2021-01-16,21042,1239
2021-01-17,22309,1316
2021-01-18,24864,1470
2021-01-19,27405,1617
2021-01-20,30821,1834
2021-01-21,35875,2121
2021-01-22,42371,2534
2021-01-23,47502,2877
2021-01-24,49840,3031
2021-01-25,53235,3283
2021-01-26,57421,3528
2021-01-27,61873,3794
2021-01-28,66577,4095
2021-01-29,72114,4466
2021-01-30,76279,4781
2021-01-31,78680,4928
2021-02-01,81767,5131
2021-02-02,85449,5369
2021-02-03,89614,5614
2021-02-04,96215,6055
2021-02-05,106029,6699
2021-02-06,119014,7539
2021-02-07,124887,7945
2021-02-08,131404,8358
2021-02-09,139419,8918
2021-02-10,149240,9583
2021-02-11,159621,10171
2021-02-12,180733,11578
2021-02-13,208425,13678
2021-02-14,224266,14756
2021-02-15,242536,16135
2021-02-16,263886,17759
2021-02-17,288302,19439
2021-02-18,323834,22015
2021-02-19,362985,24745
2021-02-20,429422,29456
2021-02-21,447503,30737
2021-02-22,475384,32592
2021-02-23,505155,34608
2021-02-24,536305,36666
2021-02-25,573356,39018
2021-02-26,616581,41909
2021-02-27,664062,44940
2021-02-28,685398,46277
2021-03-01,710269,47838
2021-03-02,743057,49714
2021-03-03,793079,52570
2021-03-04,876281,57309
2021-03-05,983409,63182
2021-03-06,1090019,69237
2021-03-07,1116297,70721
2021-03-08,1147216,72478
2021-03-09,1179101,74144
2021-03-10,1216390,76076
2021-03-11,1248597,77623
2021-03-12,1308258,80374
2021-03-13,1398348,84357
2021-03-14,1438094,86268
2021-03-15,1486163,88452
2021-03-16,1539020,90566
2021-03-17,1584429,92316
2021-03-18,1598877,92876
2021-03-19,1598891,92876
total,3952746,213234
