,False,True
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,14,0
2020-12-05,14,0
2020-12-06,14,0
2020-12-07,14,0
2020-12-08,525,28
2020-12-09,1393,98
2020-12-10,2450,168
2020-12-11,3556,245
2020-12-12,4522,301
2020-12-13,5047,343
2020-12-14,5985,406
2020-12-15,7672,504
2020-12-16,9674,637
2020-12-17,12131,791
2020-12-18,14637,945
2020-12-19,16611,1057
2020-12-20,19271,1225
2020-12-21,22631,1435
2020-12-22,25739,1631
2020-12-23,29407,1848
2020-12-24,31122,1932
2020-12-25,31143,1932
2020-12-26,31311,1939
2020-12-27,31766,1981
2020-12-28,32571,2023
2020-12-29,35308,2212
2020-12-30,40705,2485
2020-12-31,45738,2793
2021-01-01,47229,2884
2021-01-02,49021,2996
2021-01-03,50400,3094
2021-01-04,52871,3248
2021-01-05,57652,3535
2021-01-06,64232,3913
2021-01-07,73542,4459
2021-01-08,84056,5075
2021-01-09,92778,5607
2021-01-10,98329,5964
2021-01-11,106106,6433
2021-01-12,115493,7007
2021-01-13,126014,7679
2021-01-14,137760,8400
2021-01-15,151242,9226
2021-01-16,162057,9905
2021-01-17,168987,10367
2021-01-18,178038,10969
2021-01-19,188440,11648
2021-01-20,199955,12376
2021-01-21,212261,13251
2021-01-22,226499,14203
2021-01-23,238602,15092
2021-01-24,245497,15554
2021-01-25,253624,16114
2021-01-26,263144,16814
2021-01-27,273224,17507
2021-01-28,284165,18305
2021-01-29,296646,19124
2021-01-30,306705,19845
2021-01-31,314356,20356
2021-02-01,322042,20881
2021-02-02,331646,21539
2021-02-03,342601,22239
2021-02-04,355194,23114
2021-02-05,368844,24017
2021-02-06,384839,25137
2021-02-07,392469,25613
2021-02-08,401107,26201
2021-02-09,413560,27013
2021-02-10,430598,28091
2021-02-11,453243,29477
2021-02-12,487081,31710
2021-02-13,523803,34202
2021-02-14,543816,35483
2021-02-15,566874,37037
2021-02-16,629104,41286
2021-02-17,743862,49301
2021-02-18,857451,57078
2021-02-19,948479,63441
2021-02-20,1044197,69874
2021-02-21,1071154,71680
2021-02-22,1106826,74130
2021-02-23,1201039,80465
2021-02-24,1338666,89642
2021-02-25,1477630,98693
2021-02-26,1620661,108038
2021-02-27,1735895,115640
2021-02-28,1769278,117768
2021-03-01,1796165,119581
2021-03-02,1830605,121821
2021-03-03,1884302,125328
2021-03-04,1970738,130921
2021-03-05,2080267,137830
2021-03-06,2187997,144585
2021-03-07,2214415,146209
2021-03-08,2245495,148064
2021-03-09,2278059,150045
2021-03-10,2316545,152278
2021-03-11,2350782,154126
2021-03-12,2411633,157773
2021-03-13,2502311,163079
2021-03-14,2541910,165333
2021-03-15,2589986,167804
2021-03-16,2642822,170422
2021-03-17,2688819,172648
2021-03-18,2703421,173397
2021-03-19,2703442,173397
total,3944304,221683
