,False,True
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,14,0
2020-12-05,14,0
2020-12-06,14,0
2020-12-07,14,0
2020-12-08,511,42
2020-12-09,1365,126
2020-12-10,2380,238
2020-12-11,3444,357
2020-12-12,4368,448
2020-12-13,4872,525
2020-12-14,5754,623
2020-12-15,7357,819
2020-12-16,9247,1050
2020-12-17,11599,1323
2020-12-18,13993,1589
2020-12-19,15876,1799
2020-12-20,18424,2079
2020-12-21,21637,2429
2020-12-22,24598,2772
2020-12-23,28049,3199
2020-12-24,29673,3381
2020-12-25,29687,3395
2020-12-26,29834,3416
2020-12-27,30303,3444
2020-12-28,31073,3528
2020-12-29,33670,3843
2020-12-30,38780,4417
2020-12-31,43568,4956
2021-01-01,44996,5124
2021-01-02,46690,5334
2021-01-03,48027,5474
2021-01-04,50323,5796
2021-01-05,54824,6370
2021-01-06,61047,7091
2021-01-07,69811,8183
2021-01-08,79737,9387
2021-01-09,87976,10402
2021-01-10,93240,11053
2021-01-11,100562,11977
2021-01-12,109403,13090
2021-01-13,119357,14336
2021-01-14,130466,15701
2021-01-15,143143,17325
2021-01-16,153398,18557
2021-01-17,159936,19418
2021-01-18,168490,20510
2021-01-19,178304,21777
2021-01-20,189175,23163
2021-01-21,200872,24640
2021-01-22,214445,26257
2021-01-23,225988,27699
2021-01-24,232533,28511
2021-01-25,240198,29533
2021-01-26,249284,30674
2021-01-27,258902,31836
2021-01-28,269325,33152
2021-01-29,281176,34587
2021-01-30,290801,35742
2021-01-31,298004,36708
2021-02-01,305312,37611
2021-02-02,314517,38668
2021-02-03,324996,39844
2021-02-04,337015,41293
2021-02-05,350049,42805
2021-02-06,365491,44492
2021-02-07,372764,45325
2021-02-08,381003,46305
2021-02-09,392861,47719
2021-02-10,409031,49658
2021-02-11,430472,52255
2021-02-12,462735,56056
2021-02-13,497777,60221
2021-02-14,516796,62503
2021-02-15,538916,64995
2021-02-16,598780,71610
2021-02-17,709471,83692
2021-02-18,818860,95676
2021-02-19,906206,105714
2021-02-20,998529,115542
2021-02-21,1024121,118713
2021-02-22,1057959,122997
2021-02-23,1148672,132839
2021-02-24,1281021,147280
2021-02-25,1413958,162351
2021-02-26,1551270,177422
2021-02-27,1661779,189749
2021-02-28,1693202,193851
2021-03-01,1718668,197078
2021-03-02,1751351,201082
2021-03-03,1802843,206780
2021-03-04,1885275,216384
2021-03-05,1989904,228200
2021-03-06,2092426,240156
2021-03-07,2117402,243236
2021-03-08,2146606,246946
2021-03-09,2177091,251013
2021-03-10,2212938,255885
2021-03-11,2244704,260211
2021-03-12,2301880,267526
2021-03-13,2386622,278768
2021-03-14,2423260,283990
2021-03-15,2466975,290808
2021-03-16,2514428,298816
2021-03-17,2555378,306096
2021-03-18,2568825,308007
2021-03-19,2568839,308007
total,3674251,491729
