,False
2020-12-01,7
2020-12-02,7
2020-12-03,7
2020-12-04,14
2020-12-05,14
2020-12-06,14
2020-12-07,14
2020-12-08,560
2020-12-09,1498
2020-12-10,2618
2020-12-11,3808
2020-12-12,4830
2020-12-13,5404
2020-12-14,6391
2020-12-15,8190
2020-12-16,10318
2020-12-17,12936
2020-12-18,15596
2020-12-19,17689
2020-12-20,20517
2020-12-21,24087
2020-12-22,27391
2020-12-23,31269
2020-12-24,33075
2020-12-25,33096
2020-12-26,33264
2020-12-27,33768
2020-12-28,34622
2020-12-29,37541
2020-12-30,43232
2020-12-31,48566
2021-01-01,50162
2021-01-02,52066
2021-01-03,53543
2021-01-04,56175
2021-01-05,61264
2021-01-06,68222
2021-01-07,78078
2021-01-08,89208
2021-01-09,98483
2021-01-10,104391
2021-01-11,112651
2021-01-12,122619
2021-01-13,133847
2021-01-14,146314
2021-01-15,160629
2021-01-16,172144
2021-01-17,179550
2021-01-18,189210
2021-01-19,200298
2021-01-20,212562
2021-01-21,225764
2021-01-22,240982
2021-01-23,253974
2021-01-24,261359
2021-01-25,270053
2021-01-26,280287
2021-01-27,291060
2021-01-28,302813
2021-01-29,316120
2021-01-30,326907
2021-01-31,335083
2021-02-01,343301
2021-02-02,353563
2021-02-03,365225
2021-02-04,378686
2021-02-05,393253
2021-02-06,410375
2021-02-07,418481
2021-02-08,427693
2021-02-09,440972
2021-02-10,459095
2021-02-11,483112
2021-02-12,519169
2021-02-13,558362
2021-02-14,579649
2021-02-15,604254
2021-02-16,670761
2021-02-17,793520
2021-02-18,914921
2021-02-19,1012207
2021-02-20,1114253
2021-02-21,1143030
2021-02-22,1181138
2021-02-23,1281735
2021-02-24,1428490
2021-02-25,1576540
2021-02-26,1728916
2021-02-27,1851668
2021-02-28,1887186
2021-03-01,1915893
2021-03-02,1952587
2021-03-03,2009861
2021-03-04,2101855
2021-03-05,2218419
2021-03-06,2332974
2021-03-07,2361051
2021-03-08,2394035
2021-03-09,2428615
2021-03-10,2469481
2021-03-11,2505650
2021-03-12,2570211
2021-03-13,2666461
2021-03-14,2708307
2021-03-15,2758966
2021-03-16,2814777
2021-03-17,2863392
2021-03-18,2891798
2021-03-19,2922318
2021-03-20,2957969
2021-03-21,2971892
2021-03-22,2984303
2021-03-23,2995468
2021-03-24,3000991
2021-03-25,3001019
total,4168045
