,1,2,3,4,5,0
2020-12-29,42,21,28,42,42,0
2020-12-30,126,91,91,112,105,0
2020-12-31,196,161,168,189,168,7
2021-01-01,224,189,182,217,203,7
2021-01-02,308,266,266,322,294,14
2021-01-03,364,315,336,399,385,21
2021-01-04,483,476,497,581,616,28
2021-01-05,651,665,735,805,889,42
2021-01-06,854,924,1001,1071,1211,49
2021-01-07,1085,1183,1330,1428,1582,63
2021-01-08,1295,1477,1680,1799,1995,84
2021-01-09,1449,1638,1876,2016,2275,98
2021-01-10,1638,1883,2114,2289,2590,112
2021-01-11,1785,2037,2247,2436,2765,126
2021-01-12,1848,2121,2338,2548,2898,126
2021-01-13,1883,2170,2415,2618,2989,126
2021-01-14,1911,2233,2478,2674,3059,126
2021-01-15,1939,2282,2513,2709,3108,133
2021-01-16,1946,2296,2520,2744,3143,133
2021-01-17,1960,2310,2534,2758,3171,133
2021-01-18,1974,2324,2555,2765,3185,133
2021-01-19,1988,2345,2569,2807,3206,133
2021-01-20,1995,2366,2590,2835,3241,133
2021-01-21,2002,2380,2618,2863,3269,133
2021-01-22,2009,2394,2639,2884,3290,133
2021-01-23,2016,2401,2653,2891,3318,133
2021-01-24,2016,2415,2653,2912,3332,133
2021-01-25,2023,2415,2667,2919,3353,133
2021-01-26,2037,2429,2674,2926,3374,133
2021-01-27,2037,2436,2681,2947,3381,133
2021-01-28,2051,2443,2702,2975,3402,133
2021-01-29,2079,2478,2744,3038,3451,133
2021-01-30,2093,2499,2786,3101,3514,140
2021-01-31,2107,2527,2842,3150,3570,140
2021-02-01,2128,2555,2870,3171,3612,140
2021-02-02,2142,2562,2884,3213,3640,140
2021-02-03,2163,2597,2919,3269,3696,140
2021-02-04,2205,2639,2968,3318,3759,147
2021-02-05,2219,2667,3010,3360,3787,154
2021-02-06,2226,2681,3017,3374,3801,154
2021-02-07,2233,2688,3024,3381,3808,154
2021-02-08,2240,2695,3045,3409,3843,154
2021-02-09,2282,2730,3080,3465,3920,161
2021-02-10,2331,2779,3150,3549,4025,168
2021-02-11,2380,2835,3213,3640,4123,168
2021-02-12,2429,2884,3290,3717,4214,175
2021-02-13,2464,2919,3325,3780,4249,175
2021-02-14,2478,2919,3339,3794,4277,182
2021-02-15,2513,2954,3374,3822,4305,182
2021-02-16,2555,3010,3465,3906,4368,189
2021-02-17,2611,3080,3556,4018,4487,189
2021-02-18,2660,3192,3647,4116,4585,189
2021-02-19,2723,3269,3752,4228,4690,203
2021-02-20,2772,3325,3808,4277,4739,210
2021-02-21,2807,3381,3857,4340,4795,210
2021-02-22,2891,3486,3990,4459,4914,210
2021-02-23,3017,3675,4186,4648,5103,217
2021-02-24,3220,3899,4466,4949,5404,231
2021-02-25,3437,4193,4774,5285,5831,245
2021-02-26,3675,4459,5110,5600,6202,266
2021-02-27,3920,4732,5376,5866,6510,280
2021-02-28,4088,4900,5572,6048,6657,287
2021-03-01,4284,5131,5803,6244,6839,301
2021-03-02,4634,5495,6167,6594,7203,315
2021-03-03,5019,5922,6664,7091,7679,336
2021-03-04,5355,6405,7154,7532,8120,350
2021-03-05,5670,6783,7595,7938,8554,371
2021-03-06,5873,7056,7868,8232,8848,392
2021-03-07,5971,7175,8029,8372,9002,399
2021-03-08,6258,7567,8428,8799,9394,413
2021-03-09,6755,8190,9044,9436,10101,448
2021-03-10,7378,9016,9856,10234,10906,483
2021-03-11,7966,9716,10682,11004,11662,525
2021-03-12,8540,10388,11403,11711,12376,560
2021-03-13,8855,10773,11858,12180,12873,581
2021-03-14,8995,11004,12103,12474,13125,595
2021-03-15,9478,11571,12670,13076,13671,616
2021-03-16,10276,12453,13636,13965,14560,672
2021-03-17,11172,13510,14784,15162,15610,735
2021-03-18,11543,13895,15155,15547,15974,735
2021-03-19,11543,13895,15155,15554,15974,735
total,963774,882462,820379,755132,705012,39200
