,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,350,133
2020-12-09,966,371
2020-12-10,1694,658
2020-12-11,2485,931
2020-12-12,3129,1183
2020-12-13,3514,1330
2020-12-14,4123,1582
2020-12-15,5208,2058
2020-12-16,6566,2583
2020-12-17,8239,3255
2020-12-18,9947,3941
2020-12-19,11263,4473
2020-12-20,13076,5166
2020-12-21,15449,6090
2020-12-22,17633,6937
2020-12-23,20209,7931
2020-12-24,21490,8428
2020-12-25,21504,8435
2020-12-26,21623,8470
2020-12-27,21938,8610
2020-12-28,22491,8841
2020-12-29,24402,9597
2020-12-30,28168,11060
2020-12-31,31780,12446
2021-01-01,32844,12831
2021-01-02,34097,13307
2021-01-03,35091,13692
2021-01-04,36855,14343
2021-01-05,40159,15547
2021-01-06,44618,17360
2021-01-07,50995,19789
2021-01-08,57743,22442
2021-01-09,63378,24647
2021-01-10,67165,26173
2021-01-11,71834,27979
2021-01-12,77455,30107
2021-01-13,83734,32550
2021-01-14,90370,35133
2021-01-15,97412,37891
2021-01-16,103551,40208
2021-01-17,107933,41874
2021-01-18,112959,43785
2021-01-19,118979,46137
2021-01-20,125265,48475
2021-01-21,130963,50596
2021-01-22,136941,52864
2021-01-23,142345,54957
2021-01-24,145831,56315
2021-01-25,149478,57687
2021-01-26,153706,59220
2021-01-27,158116,60837
2021-01-28,162967,62713
2021-01-29,168252,64792
2021-01-30,172809,66521
2021-01-31,176897,68061
2021-02-01,180432,69419
2021-02-02,184926,71225
2021-02-03,190113,73220
2021-02-04,194873,74921
2021-02-05,197771,76090
2021-02-06,200291,76867
2021-02-07,201635,77350
2021-02-08,203350,77910
2021-02-09,206696,79205
2021-02-10,212352,81200
2021-02-11,222089,84525
2021-02-12,232064,88074
2021-02-13,238854,90678
2021-02-14,241941,91952
2021-02-15,245616,93219
2021-02-16,276584,105581
2021-02-17,345387,133273
2021-02-18,405181,156478
2021-02-19,445032,172109
2021-02-20,467299,180838
2021-02-21,474131,183414
2021-02-22,480200,185689
2021-02-23,530068,204631
2021-02-24,611464,236670
2021-02-25,690214,266357
2021-02-26,766850,296065
2021-02-27,819175,316008
2021-02-28,828611,319501
2021-03-01,830312,320117
2021-03-02,831775,320747
2021-03-03,835044,321944
2021-03-04,838040,322994
2021-03-05,840665,323813
2021-03-06,842156,324233
2021-03-07,842394,324310
2021-03-08,842625,324401
2021-03-09,843465,324723
2021-03-10,844711,325150
2021-03-11,846636,325717
2021-03-12,848260,326235
2021-03-13,849695,326690
2021-03-14,849898,326739
2021-03-15,850122,326823
2021-03-16,850577,327005
2021-03-17,851522,327278
2021-03-18,851816,327362
total,3070305,1095682
