,1,2,3,4,5,6
2020-12-28,0,0,0,0,0,0
2020-12-29,49,0,0,0,0,28
2020-12-30,147,0,0,0,0,98
2020-12-31,259,0,14,0,0,161
2021-01-01,287,0,21,0,0,175
2021-01-02,385,0,21,0,0,224
2021-01-03,476,0,35,0,0,308
2021-01-04,735,0,49,0,7,483
2021-01-05,1078,14,77,0,7,700
2021-01-06,1561,14,105,7,21,973
2021-01-07,2149,21,147,21,21,1358
2021-01-08,2688,28,203,21,35,1673
2021-01-09,3059,28,245,28,42,1883
2021-01-10,3591,35,280,42,42,2198
2021-01-11,3864,35,294,42,42,2359
2021-01-12,4004,35,308,42,42,2492
2021-01-13,4130,35,322,49,42,2541
2021-01-14,4214,35,329,49,42,2590
2021-01-15,4256,35,336,49,42,2625
2021-01-16,4305,35,336,49,42,2639
2021-01-17,4326,35,343,49,42,2653
2021-01-18,4354,42,343,49,42,2667
2021-01-19,4375,42,350,49,49,2695
2021-01-20,4403,42,364,56,49,2723
2021-01-21,4431,42,364,56,49,2751
2021-01-22,4445,42,371,56,49,2751
2021-01-23,4459,42,371,56,49,2758
2021-01-24,4473,42,371,56,49,2772
2021-01-25,4487,42,371,56,49,2779
2021-01-26,4494,42,385,56,49,2793
2021-01-27,4501,42,385,56,49,2807
2021-01-28,4550,42,392,63,49,2814
2021-01-29,4627,42,399,63,49,2856
2021-01-30,4718,42,406,63,56,2912
2021-01-31,4781,49,427,63,56,2975
2021-02-01,4823,49,427,63,56,3003
2021-02-02,4865,49,427,63,56,3031
2021-02-03,4949,49,434,63,56,3080
2021-02-04,5033,49,441,70,56,3122
2021-02-05,5082,49,448,70,56,3171
2021-02-06,5103,49,448,70,56,3178
2021-02-07,5103,49,455,70,56,3185
2021-02-08,5131,49,455,70,56,3199
2021-02-09,5236,56,455,70,56,3241
2021-02-10,5376,56,469,70,56,3318
2021-02-11,5495,56,483,70,63,3409
2021-02-12,5607,56,490,77,63,3507
2021-02-13,5712,56,497,77,63,3556
2021-02-14,5754,56,504,84,63,3577
2021-02-15,5817,63,504,84,63,3612
2021-02-16,5943,63,518,84,63,3682
2021-02-17,6132,63,525,84,70,3801
2021-02-18,6293,70,546,84,70,3892
2021-02-19,6461,70,567,84,77,3990
2021-02-20,6559,70,581,91,77,4053
2021-02-21,6636,70,588,91,77,4102
2021-02-22,6783,77,595,91,77,4179
2021-02-23,7112,77,623,98,84,4340
2021-02-24,7602,84,665,112,84,4627
2021-02-25,8176,98,756,126,98,4921
2021-02-26,8729,105,812,140,105,5201
2021-02-27,9184,112,854,147,112,5460
2021-02-28,9471,112,882,154,119,5628
2021-03-01,9821,112,917,168,119,5824
2021-03-02,10416,119,959,168,133,6132
2021-03-03,11263,126,1015,189,147,6608
2021-03-04,12089,140,1078,217,154,7126
2021-03-05,12824,147,1134,238,168,7497
2021-03-06,13244,154,1169,245,175,7763
2021-03-07,13468,154,1183,252,175,7924
2021-03-08,14140,168,1211,273,196,8274
2021-03-09,15162,182,1274,287,210,8862
2021-03-10,16569,189,1351,329,238,9590
2021-03-11,17864,203,1449,357,252,10283
2021-03-12,19145,224,1526,392,259,10955
2021-03-13,19887,238,1568,406,266,11382
2021-03-14,20244,238,1603,406,266,11634
2021-03-15,21126,252,1652,434,287,12131
2021-03-16,22694,266,1736,476,308,13048
2021-03-17,24598,287,1876,546,343,14084
2021-03-18,25270,294,1918,560,350,14364
2021-03-19,25277,294,1918,560,350,14364
total,1275288,15183,69965,43848,23527,711361
