,False,True
2020-12-28,0,0
2020-12-29,91,0
2020-12-30,273,0
2020-12-31,455,0
2021-01-01,504,0
2021-01-02,658,0
2021-01-03,833,0
2021-01-04,1295,0
2021-01-05,1904,0
2021-01-06,2702,0
2021-01-07,3731,0
2021-01-08,4662,0
2021-01-09,5299,0
2021-01-10,6195,0
2021-01-11,6657,0
2021-01-12,6951,0
2021-01-13,7140,0
2021-01-14,7280,0
2021-01-15,7364,0
2021-01-16,7434,0
2021-01-17,7469,0
2021-01-18,7511,0
2021-01-19,7567,0
2021-01-20,7644,0
2021-01-21,7693,0
2021-01-22,7714,0
2021-01-23,7742,0
2021-01-24,7777,0
2021-01-25,7798,0
2021-01-26,7819,0
2021-01-27,7847,0
2021-01-28,7903,0
2021-01-29,8050,0
2021-01-30,8197,0
2021-01-31,8337,0
2021-02-01,8414,0
2021-02-02,8477,0
2021-02-03,8610,0
2021-02-04,8757,0
2021-02-05,8855,0
2021-02-06,8883,0
2021-02-07,8904,0
2021-02-08,8946,0
2021-02-09,9093,0
2021-02-10,9324,0
2021-02-11,9548,0
2021-02-12,9779,0
2021-02-13,9940,0
2021-02-14,10010,0
2021-02-15,10122,0
2021-02-16,10318,0
2021-02-17,10640,0
2021-02-18,10941,0
2021-02-19,11221,0
2021-02-20,11396,0
2021-02-21,11536,0
2021-02-22,11767,0
2021-02-23,12292,0
2021-02-24,13125,0
2021-02-25,14112,0
2021-02-26,15022,0
2021-02-27,15806,0
2021-02-28,16289,0
2021-03-01,16870,0
2021-03-02,17850,0
2021-03-03,19250,0
2021-03-04,20706,0
2021-03-05,21896,0
2021-03-06,22645,0
2021-03-07,23044,0
2021-03-08,24122,0
2021-03-09,25760,0
2021-03-10,27251,0
2021-03-11,28266,0
2021-03-12,28658,0
total,2135175,196
