,False
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,210
2020-12-09,700
2020-12-10,1211
2020-12-11,1722
2020-12-12,2114
2020-12-13,2408
2020-12-14,2870
2020-12-15,3668
2020-12-16,4676
2020-12-17,6111
2020-12-18,7406
2020-12-19,8617
2020-12-20,10227
2020-12-21,12180
2020-12-22,13874
2020-12-23,15981
2020-12-24,17059
2020-12-25,17066
2020-12-26,17136
2020-12-27,17388
2020-12-28,17843
2020-12-29,19313
2020-12-30,22386
2020-12-31,25095
2021-01-01,25921
2021-01-02,26852
2021-01-03,27580
2021-01-04,28952
2021-01-05,31542
2021-01-06,35420
2021-01-07,40873
2021-01-08,46340
2021-01-09,51065
2021-01-10,54012
2021-01-11,57526
2021-01-12,61831
2021-01-13,66941
2021-01-14,72387
2021-01-15,77973
2021-01-16,82796
2021-01-17,86373
2021-01-18,90370
2021-01-19,95186
2021-01-20,100107
2021-01-21,104657
2021-01-22,108948
2021-01-23,112819
2021-01-24,115556
2021-01-25,118181
2021-01-26,121352
2021-01-27,124558
2021-01-28,128058
2021-01-29,131957
2021-01-30,135177
2021-01-31,138313
2021-02-01,141246
2021-02-02,145145
2021-02-03,149744
2021-02-04,152978
2021-02-05,155274
2021-02-06,156548
2021-02-07,157500
2021-02-08,158620
2021-02-09,160867
2021-02-10,164598
2021-02-11,170758
2021-02-12,177086
2021-02-13,181958
2021-02-14,184170
2021-02-15,185885
2021-02-16,196497
2021-02-17,218211
2021-02-18,235151
2021-02-19,246183
2021-02-20,251601
2021-02-21,253862
2021-02-22,255941
2021-02-23,268387
2021-02-24,289471
2021-02-25,310317
2021-02-26,330225
2021-02-27,343826
2021-02-28,346815
2021-03-01,347802
2021-03-02,348761
2021-03-03,349923
2021-03-04,351162
2021-03-05,352604
2021-03-06,353969
2021-03-07,354634
2021-03-08,354879
2021-03-09,356174
2021-03-10,357511
2021-03-11,358463
2021-03-12,359261
2021-03-13,359898
2021-03-14,360003
2021-03-15,360185
2021-03-16,360444
2021-03-17,360815
2021-03-18,360927
total,2139200
