,1,2,3,4,5,0
2020-12-15,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0
2020-12-17,0,0,0,0,0,0
2020-12-18,0,0,0,0,0,0
2020-12-19,0,0,0,0,0,0
2020-12-20,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,0
2020-12-22,0,0,0,0,0,0
2020-12-23,0,0,0,0,0,0
2020-12-24,0,0,0,0,0,0
2020-12-25,0,0,0,0,0,0
2020-12-26,0,0,0,0,0,0
2020-12-27,0,0,0,0,0,0
2020-12-28,0,0,0,0,0,0
2020-12-29,0,0,0,0,0,0
2020-12-30,7,0,0,7,7,0
2020-12-31,14,0,7,7,14,0
2021-01-01,21,7,14,14,21,0
2021-01-02,28,7,14,21,28,0
2021-01-03,28,7,14,21,28,0
2021-01-04,35,28,42,49,56,0
2021-01-05,56,56,84,84,105,0
2021-01-06,98,112,119,147,147,0
2021-01-07,154,203,203,231,231,7
2021-01-08,350,441,483,448,441,14
2021-01-09,532,658,735,700,686,21
2021-01-10,630,770,833,840,826,21
2021-01-11,903,1099,1148,1183,1190,35
2021-01-12,1267,1484,1519,1610,1554,56
2021-01-13,1666,1946,1946,2058,2009,77
2021-01-14,2177,2471,2492,2646,2506,98
2021-01-15,2800,3164,3227,3423,3241,126
2021-01-16,3276,3661,3703,3962,3794,154
2021-01-17,3486,3878,3927,4165,3990,161
2021-01-18,3885,4305,4375,4676,4529,175
2021-01-19,4305,4732,4816,5145,4949,189
2021-01-20,4865,5264,5376,5670,5488,210
2021-01-21,5579,6027,6174,6510,6349,245
2021-01-22,6461,6986,7224,7525,7392,294
2021-01-23,7091,7679,7980,8351,8211,329
2021-01-24,7378,8001,8372,8736,8589,343
2021-01-25,7798,8526,8897,9317,9107,385
2021-01-26,8288,9086,9548,9954,9709,413
2021-01-27,8750,9653,10129,10584,10353,434
2021-01-28,9240,10213,10675,11172,10927,462
2021-01-29,9723,10857,11340,11886,11690,490
2021-01-30,10108,11375,11942,12502,12341,511
2021-01-31,10430,11704,12299,12908,12740,525
2021-02-01,10766,12068,12663,13286,13153,546
2021-02-02,11137,12502,13097,13720,13580,560
2021-02-03,11487,12950,13545,14196,14070,574
2021-02-04,11963,13482,14119,14840,14700,595
2021-02-05,12579,14252,14945,15701,15554,616
2021-02-06,13174,15022,15918,16695,16583,637
2021-02-07,13503,15477,16401,17178,17094,651
2021-02-08,14000,16030,16926,17745,17598,665
2021-02-09,14497,16611,17507,18347,18151,686
2021-02-10,14994,17213,18172,18963,18690,707
2021-02-11,15519,17822,18823,19600,19306,735
2021-02-12,16303,18823,19894,20629,20328,770
2021-02-13,17311,20076,21266,21987,21826,826
2021-02-14,17787,20818,22099,22855,22750,854
2021-02-15,18473,21672,22995,23744,23681,882
2021-02-16,19173,22540,23982,24682,24633,910
2021-02-17,20006,23583,25067,25704,25564,952
2021-02-18,21091,24787,26369,26971,26726,1008
2021-02-19,22323,26187,27727,28462,28161,1050
2021-02-20,23863,28063,30002,30590,30408,1127
2021-02-21,24661,28966,30926,31514,31297,1155
2021-02-22,25627,29988,32025,32592,32438,1197
2021-02-23,26656,31094,33194,33649,33516,1239
2021-02-24,27748,32347,34496,34930,34706,1295
2021-02-25,29190,33964,36169,36596,36232,1365
2021-02-26,30772,35854,38017,38472,37919,1421
2021-02-27,32788,37912,40264,40607,40278,1505
2021-02-28,33901,39200,42035,42000,41580,1561
2021-03-01,35441,40908,43610,43421,42777,1624
2021-03-02,37037,42784,45381,45136,44142,1680
2021-03-03,39193,45038,47684,47292,45913,1778
2021-03-04,42189,48608,51114,50792,49056,1932
2021-03-05,45920,52766,55377,55419,53305,2051
2021-03-06,49805,56791,59703,59668,57407,2212
2021-03-07,51128,57995,61061,61061,58786,2254
2021-03-08,52724,59549,62678,62944,60368,2310
2021-03-09,54607,61411,64330,64624,61845,2387
2021-03-10,56763,63644,66731,66703,63896,2436
2021-03-11,59507,66199,69552,69678,66059,2520
2021-03-12,64519,71659,75684,75761,71967,2702
2021-03-13,74984,82908,90405,90188,86331,3269
2021-03-14,79002,87570,96446,97034,93254,3514
2021-03-15,84616,94773,104881,105434,102291,3822
2021-03-16,93877,106113,118216,120715,119630,4291
2021-03-17,106491,122948,138383,142107,141197,5019
2021-03-18,116312,136409,154406,160272,164493,5019
2021-03-19,131460,154119,175399,185759,199374,5019
2021-03-20,150143,178367,204526,217987,239743,5019
2021-03-21,157332,187005,216027,230769,255703,5019
2021-03-22,163646,195391,225946,242011,270438,5019
2021-03-23,169953,203119,234892,252294,282471,5019
2021-03-24,172830,206325,238231,255990,286720,5019
2021-03-25,172837,206332,238231,255997,286720,5019
total,532714,590282,627935,644189,676893,25676
