,False,True
2020-12-16,0,0
2020-12-17,7,0
2020-12-18,7,0
2020-12-19,7,0
2020-12-20,7,7
2020-12-21,14,7
2020-12-22,14,14
2020-12-23,21,21
2020-12-24,21,21
2020-12-25,21,21
2020-12-26,21,21
2020-12-27,21,21
2020-12-28,21,21
2020-12-29,21,28
2020-12-30,42,42
2020-12-31,49,42
2021-01-01,49,42
2021-01-02,63,56
2021-01-03,63,56
2021-01-04,70,63
2021-01-05,98,84
2021-01-06,119,105
2021-01-07,448,343
2021-01-08,1757,1358
2021-01-09,3955,3024
2021-01-10,4697,3647
2021-01-11,7091,5495
2021-01-12,10276,7917
2021-01-13,15008,11578
2021-01-14,22533,17451
2021-01-15,30989,23758
2021-01-16,38150,29155
2021-01-17,41552,31682
2021-01-18,47432,36358
2021-01-19,53970,41769
2021-01-20,60368,46935
2021-01-21,76475,58688
2021-01-22,95046,72737
2021-01-23,112630,85372
2021-01-24,117936,89110
2021-01-25,125419,94864
2021-01-26,133035,101087
2021-01-27,140532,107303
2021-01-28,148505,113897
2021-01-29,155582,119665
2021-01-30,161805,124558
2021-01-31,163408,125783
2021-02-01,166523,128471
2021-02-02,169617,131306
2021-02-03,172788,134085
2021-02-04,176253,137165
2021-02-05,179956,140119
2021-02-06,182756,142331
2021-02-07,184107,143353
2021-02-08,186256,145327
2021-02-09,188685,147560
2021-02-10,191331,149989
2021-02-11,193718,152131
2021-02-12,196175,154245
2021-02-13,197862,155631
2021-02-14,198457,156065
2021-02-15,199374,156877
2021-02-16,200242,157640
2021-02-17,201054,158326
2021-02-18,201859,158984
2021-02-19,202538,159495
2021-02-20,203070,159901
2021-02-21,203245,160034
2021-02-22,203651,160433
2021-02-23,204148,160909
2021-02-24,204687,161315
2021-02-25,205226,161756
2021-02-26,205702,162169
2021-02-27,206010,162428
2021-02-28,206150,162512
2021-03-01,206423,162757
2021-03-02,206780,163093
2021-03-03,207151,163443
2021-03-04,207732,163891
2021-03-05,208411,164402
2021-03-06,208866,164710
2021-03-07,208992,164801
2021-03-08,209223,164997
2021-03-09,209538,165242
2021-03-10,209874,165536
2021-03-11,210245,165830
2021-03-12,210567,166124
2021-03-13,210840,166299
2021-03-14,210952,166369
2021-03-15,211148,166544
2021-03-16,211449,166775
2021-03-17,211715,166978
2021-03-18,211988,167202
2021-03-19,212338,167426
2021-03-20,212583,167573
2021-03-21,212667,167622
2021-03-22,212821,167727
2021-03-23,213122,167958
2021-03-24,213206,168042
total,832706,608650
