,F,M
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,7,7
2020-12-30,14,7
2020-12-31,21,14
2021-01-01,28,14
2021-01-02,35,28
2021-01-03,35,28
2021-01-04,63,35
2021-01-05,147,77
2021-01-06,217,91
2021-01-07,385,168
2021-01-08,882,490
2021-01-09,1498,896
2021-01-10,1813,1085
2021-01-11,2513,1442
2021-01-12,3290,1932
2021-01-13,4109,2345
2021-01-14,5313,3059
2021-01-15,7371,4522
2021-01-16,9058,5740
2021-01-17,9653,6146
2021-01-18,10731,6958
2021-01-19,12173,8078
2021-01-20,14546,9926
2021-01-21,23177,17087
2021-01-22,35567,27104
2021-01-23,52269,41398
2021-01-24,61047,49245
2021-01-25,70511,57624
2021-01-26,84112,70091
2021-01-27,99533,83629
2021-01-28,115136,97699
2021-01-29,137557,117509
2021-01-30,165480,142821
2021-01-31,179242,155792
2021-02-01,198331,174069
2021-02-02,224385,199241
2021-02-03,248157,221823
2021-02-04,285551,257439
2021-02-05,345352,313292
2021-02-06,424697,385651
2021-02-07,458654,416570
2021-02-08,492926,449029
2021-02-09,523915,477974
2021-02-10,548968,501074
2021-02-11,568001,518602
2021-02-12,588910,537264
2021-02-13,611751,556598
2021-02-14,618086,562219
2021-02-15,624610,568148
2021-02-16,629496,572425
2021-02-17,633598,575960
2021-02-18,638064,579894
2021-02-19,642908,584087
2021-02-20,649642,589610
2021-02-21,652043,591626
2021-02-22,655354,594566
2021-02-23,659526,598101
2021-02-24,663992,601559
2021-02-25,671335,606627
2021-02-26,679308,612052
2021-02-27,688303,617876
2021-02-28,692300,620480
2021-03-01,696864,623791
2021-03-02,702212,627529
2021-03-03,707945,631463
2021-03-04,715981,637070
2021-03-05,725641,643433
2021-03-06,735049,649523
2021-03-07,737912,651329
2021-03-08,740943,653492
2021-03-09,744254,655844
2021-03-10,747516,657951
2021-03-11,750232,659855
2021-03-12,753676,662046
2021-03-13,758086,664979
2021-03-14,759640,666183
2021-03-15,761831,667800
2021-03-16,764155,669487
2021-03-17,766164,670950
2021-03-18,768243,672469
2021-03-19,770742,674121
2021-03-20,773815,676039
2021-03-21,774956,676823
2021-03-22,776181,677754
2021-03-23,777567,678706
2021-03-24,778148,679140
2021-03-25,778148,679140
total,1436393,1229081
