,False,True
2020-11-30,0,0
2020-12-01,7,0
2020-12-02,14,0
2020-12-03,14,0
2020-12-04,14,0
2020-12-05,14,0
2020-12-06,14,0
2020-12-07,14,0
2020-12-08,266,28
2020-12-09,609,77
2020-12-10,1050,119
2020-12-11,1540,189
2020-12-12,1925,231
2020-12-13,2051,252
2020-12-14,2387,273
2020-12-15,3073,350
2020-12-16,3927,441
2020-12-17,4956,560
2020-12-18,6139,665
2020-12-19,7336,770
2020-12-20,8708,903
2020-12-21,10073,1050
2020-12-22,11382,1176
2020-12-23,12838,1302
2020-12-24,13489,1358
2020-12-25,13503,1358
2020-12-26,13587,1365
2020-12-27,13755,1379
2020-12-28,14042,1407
2020-12-29,15218,1540
2020-12-30,17521,1736
2020-12-31,19740,1939
2021-01-01,20419,2002
2021-01-02,21518,2100
2021-01-03,22106,2156
2021-01-04,22925,2240
2021-01-05,25053,2401
2021-01-06,27363,2611
2021-01-07,32263,2989
2021-01-08,38458,3486
2021-01-09,44513,3927
2021-01-10,47362,4172
2021-01-11,51156,4487
2021-01-12,56756,4949
2021-01-13,65639,5530
2021-01-14,77427,6258
2021-01-15,89635,7056
2021-01-16,97454,7539
2021-01-17,102683,7903
2021-01-18,108787,8414
2021-01-19,124607,9324
2021-01-20,147721,10598
2021-01-21,179739,12264
2021-01-22,225575,14651
2021-01-23,283591,17395
2021-01-24,312802,18767
2021-01-25,335433,19971
2021-01-26,366674,21616
2021-01-27,403949,23604
2021-01-28,461286,26495
2021-01-29,556682,31073
2021-01-30,666666,35959
2021-01-31,739865,39088
2021-02-01,805637,41979
2021-02-02,891394,45703
2021-02-03,1006943,50883
2021-02-04,1128743,56525
2021-02-05,1259034,62587
2021-02-06,1409800,70308
2021-02-07,1474221,73423
2021-02-08,1541561,76979
2021-02-09,1613906,81137
2021-02-10,1676283,84889
2021-02-11,1733025,88893
2021-02-12,1784958,92911
2021-02-13,1831277,96866
2021-02-14,1843492,98112
2021-02-15,1856190,99554
2021-02-16,1869497,101773
2021-02-17,1885590,105196
2021-02-18,1901452,108549
2021-02-19,1914283,111419
2021-02-20,1927030,114450
2021-02-21,1931384,115451
2021-02-22,1938104,116809
2021-02-23,1951677,119931
2021-02-24,1970661,124572
2021-02-25,1994531,130333
2021-02-26,2017813,135940
2021-02-27,2037966,140427
2021-02-28,2045022,141785
2021-03-01,2051973,143171
2021-03-02,2059806,144634
2021-03-03,2068325,146237
2021-03-04,2079994,148561
2021-03-05,2093700,151452
2021-03-06,2106909,153909
2021-03-07,2110920,154630
2021-03-08,2115414,155428
2021-03-09,2120503,156149
2021-03-10,2125326,156877
2021-03-11,2129554,157479
2021-03-12,2134615,158228
2021-03-13,2141027,159250
2021-03-14,2143470,159607
2021-03-15,2146837,160104
2021-03-16,2150379,160650
2021-03-17,2153529,161098
2021-03-18,2156770,161574
2021-03-19,2160487,162099
2021-03-20,2164862,162778
2021-03-21,2166577,162988
2021-03-22,2168509,163254
2021-03-23,2170630,163541
2021-03-24,2171757,163688
2021-03-25,2171764,163688
total,2475529,189945
