,False,True
2020-12-08,56,161
2020-12-09,126,413
2020-12-10,238,693
2020-12-11,350,1036
2020-12-12,434,1295
2020-12-13,462,1386
2020-12-14,532,1596
2020-12-15,679,2044
2020-12-16,931,2590
2020-12-17,1225,3262
2020-12-18,1505,4039
2020-12-19,1869,4823
2020-12-20,2268,5656
2020-12-21,2660,6580
2020-12-22,3024,7455
2020-12-23,3430,8442
2020-12-24,3605,8946
2020-12-25,3605,8953
2020-12-26,3619,9016
2020-12-27,3661,9135
2020-12-28,3731,9338
2020-12-29,4060,10164
2020-12-30,4648,11739
2020-12-31,5306,13223
2021-01-01,5495,13650
2021-01-02,5768,14357
2021-01-03,5943,14735
2021-01-04,6167,15337
2021-01-05,6811,16667
2021-01-06,7462,18263
2021-01-07,9002,21280
2021-01-08,10829,24948
2021-01-09,12831,28490
2021-01-10,13748,30268
2021-01-11,14868,32333
2021-01-12,16562,35483
2021-01-13,19614,40642
2021-01-14,23730,47075
2021-01-15,27293,52885
2021-01-16,29183,56371
2021-01-17,30723,59409
2021-01-18,32354,62517
2021-01-19,37695,71302
2021-01-20,45248,83860
2021-01-21,52339,94535
2021-01-22,62706,109739
2021-01-23,74326,127561
2021-01-24,79877,135968
2021-01-25,81802,139909
2021-01-26,83909,144494
2021-01-27,87591,150976
2021-01-28,99533,169442
2021-01-29,123060,203189
2021-01-30,148631,238833
2021-01-31,169505,267666
2021-02-01,182147,286153
2021-02-02,198387,307755
2021-02-03,229768,350651
2021-02-04,252595,381969
2021-02-05,261156,394058
2021-02-06,263487,398426
2021-02-07,264481,400085
2021-02-08,265972,402703
2021-02-09,272279,412706
2021-02-10,279104,423801
2021-02-11,287784,439201
2021-02-12,293412,449876
2021-02-13,296016,455399
2021-02-14,296443,456477
2021-02-15,296772,457835
2021-02-16,297633,463309
2021-02-17,298984,473837
2021-02-18,300307,483266
2021-02-19,300923,489300
2021-02-20,301238,492499
2021-02-21,301301,493381
2021-02-22,301455,495068
2021-02-23,302232,503223
2021-02-24,303562,517531
2021-02-25,304955,533351
2021-02-26,306418,547393
2021-02-27,307139,556528
2021-02-28,307314,558201
2021-03-01,307370,558621
2021-03-02,307419,558838
2021-03-03,307503,559279
2021-03-04,307587,559629
2021-03-05,307685,560175
2021-03-06,307727,560357
2021-03-07,307741,560441
2021-03-08,307762,560532
2021-03-09,307881,560812
2021-03-10,307965,561057
2021-03-11,308049,561302
2021-03-12,308112,561505
2021-03-13,308161,561617
2021-03-14,308168,561680
2021-03-15,308196,561750
2021-03-16,308252,561869
2021-03-17,308336,562065
2021-03-18,308434,562324
2021-03-19,308497,562492
2021-03-20,308539,562618
2021-03-21,308553,562653
2021-03-22,308574,562730
2021-03-23,308616,562842
2021-03-24,308644,562926
total,934444,1731030
