,False,True
2020-12-08,63,0
2020-12-09,175,0
2020-12-10,308,7
2020-12-11,469,14
2020-12-12,574,14
2020-12-13,623,14
2020-12-14,749,14
2020-12-15,994,21
2020-12-16,1309,35
2020-12-17,1764,42
2020-12-18,2219,56
2020-12-19,2702,70
2020-12-20,3255,84
2020-12-21,3906,105
2020-12-22,4508,119
2020-12-23,5124,133
2020-12-24,5418,140
2020-12-25,5425,140
2020-12-26,5460,140
2020-12-27,5516,140
2020-12-28,5635,147
2020-12-29,6139,154
2020-12-30,7105,182
2020-12-31,7966,203
2021-01-01,8253,210
2021-01-02,8561,224
2021-01-03,8785,231
2021-01-04,9156,238
2021-01-05,9912,259
2021-01-06,11116,280
2021-01-07,12810,322
2021-01-08,14882,378
2021-01-09,16814,420
2021-01-10,17927,462
2021-01-11,18893,490
2021-01-12,20146,518
2021-01-13,22022,567
2021-01-14,24115,630
2021-01-15,26201,679
2021-01-16,27818,735
2021-01-17,28903,770
2021-01-18,30303,805
2021-01-19,32025,854
2021-01-20,34076,910
2021-01-21,36470,1001
2021-01-22,39487,1127
2021-01-23,42637,1246
2021-01-24,44639,1316
2021-01-25,45759,1344
2021-01-26,46977,1372
2021-01-27,48797,1428
2021-01-28,52822,1589
2021-01-29,59360,1862
2021-01-30,66731,2100
2021-01-31,76062,2443
2021-02-01,82425,2667
2021-02-02,89803,2884
2021-02-03,98602,3199
2021-02-04,107303,3549
2021-02-05,111832,3731
2021-02-06,113750,3787
2021-02-07,114492,3808
2021-02-08,117593,3885
2021-02-09,132377,4361
2021-02-10,158445,5264
2021-02-11,201341,6622
2021-02-12,239827,7728
2021-02-13,261303,8281
2021-02-14,268121,8470
2021-02-15,274029,8694
2021-02-16,293293,9296
2021-02-17,319935,10052
2021-02-18,339591,10640
2021-02-19,348005,10920
2021-02-20,352982,11039
2021-02-21,353535,11053
2021-02-22,354445,11081
2021-02-23,359723,11249
2021-02-24,369285,11557
2021-02-25,379372,11900
2021-02-26,387009,12117
2021-02-27,390985,12257
2021-02-28,391944,12299
2021-03-01,392665,12334
2021-03-02,392819,12334
2021-03-03,393043,12341
2021-03-04,393274,12348
2021-03-05,393568,12348
2021-03-06,393659,12355
2021-03-07,393701,12355
2021-03-08,393750,12362
2021-03-09,393911,12362
2021-03-10,394128,12369
2021-03-11,394331,12383
2021-03-12,394583,12390
2021-03-13,394674,12397
2021-03-14,394688,12397
2021-03-15,394723,12397
2021-03-16,394807,12397
2021-03-17,394947,12404
2021-03-18,395038,12404
2021-03-19,395122,12411
2021-03-20,395157,12411
2021-03-21,395164,12411
2021-03-22,395199,12418
2021-03-23,395255,12418
2021-03-24,395304,12418
total,1358952,41146
