,1,2,3,4,5,6
2020-12-29,84,0,0,0,0,35
2020-12-30,231,0,21,0,0,77
2020-12-31,378,0,42,0,0,140
2021-01-01,441,0,63,7,0,154
2021-01-02,595,7,84,7,7,217
2021-01-03,679,7,105,7,7,252
2021-01-04,987,14,154,14,14,385
2021-01-05,1421,21,217,14,21,539
2021-01-06,1883,28,315,21,28,735
2021-01-07,2401,49,434,35,35,973
2021-01-08,2968,63,567,49,49,1260
2021-01-09,3360,70,651,49,56,1435
2021-01-10,3787,77,749,56,63,1652
2021-01-11,4116,84,791,63,70,1792
2021-01-12,4305,91,819,70,70,1897
2021-01-13,4438,91,847,77,77,1974
2021-01-14,4571,91,868,77,77,2023
2021-01-15,4662,98,889,84,77,2065
2021-01-16,4697,98,889,84,84,2079
2021-01-17,4732,98,903,84,84,2093
2021-01-18,4760,98,910,84,84,2107
2021-01-19,4788,98,931,84,84,2128
2021-01-20,4823,98,952,84,84,2149
2021-01-21,4851,98,966,84,84,2163
2021-01-22,4879,98,973,84,84,2177
2021-01-23,4893,98,980,84,84,2191
2021-01-24,4914,105,987,84,84,2205
2021-01-25,4928,105,994,84,91,2212
2021-01-26,4942,105,1001,91,91,2226
2021-01-27,4963,105,1008,91,91,2240
2021-01-28,4998,105,1015,91,91,2254
2021-01-29,5068,105,1057,91,98,2289
2021-01-30,5145,105,1078,98,98,2324
2021-01-31,5187,105,1099,98,98,2366
2021-02-01,5229,112,1106,98,98,2373
2021-02-02,5250,112,1113,98,98,2387
2021-02-03,5313,112,1127,98,98,2422
2021-02-04,5383,112,1141,105,105,2450
2021-02-05,5425,112,1155,105,105,2471
2021-02-06,5439,112,1155,105,105,2478
2021-02-07,5446,112,1155,105,105,2485
2021-02-08,5488,112,1169,105,105,2492
2021-02-09,5565,112,1190,112,105,2527
2021-02-10,5670,119,1211,112,105,2569
2021-02-11,5768,119,1239,119,112,2611
2021-02-12,5859,119,1260,119,119,2653
2021-02-13,5922,119,1267,119,119,2681
2021-02-14,5943,119,1274,119,119,2695
2021-02-15,5985,126,1281,119,119,2716
2021-02-16,6090,126,1302,119,119,2758
2021-02-17,6230,126,1330,126,126,2807
2021-02-18,6370,133,1379,133,126,2870
2021-02-19,6531,140,1414,140,126,2926
2021-02-20,6615,140,1435,140,126,2947
2021-02-21,6713,140,1449,140,133,2961
2021-02-22,6881,140,1498,147,140,3038
2021-02-23,7217,147,1561,154,140,3150
2021-02-24,7686,161,1659,161,154,3346
2021-02-25,8260,175,1806,175,161,3556
2021-02-26,8799,182,1925,196,175,3752
2021-02-27,9289,196,2030,203,182,3934
2021-02-28,9597,196,2079,210,189,4046
2021-03-01,10003,210,2142,224,189,4193
2021-03-02,10717,224,2240,238,210,4466
2021-03-03,11648,238,2373,266,231,4816
2021-03-04,12572,252,2513,308,245,5145
2021-03-05,13377,266,2674,336,266,5425
2021-03-06,13881,280,2758,350,273,5614
2021-03-07,14063,287,2779,357,280,5712
2021-03-08,14784,294,2884,385,294,5992
2021-03-09,15974,315,3080,434,315,6454
2021-03-10,17437,343,3304,490,350,7021
2021-03-11,18732,371,3493,539,357,7497
2021-03-12,20013,392,3661,588,371,7938
2021-03-13,20811,413,3787,609,385,8246
2021-03-14,21182,420,3836,623,392,8407
2021-03-15,22211,441,3969,665,413,8806
2021-03-16,23940,469,4221,728,441,9464
2021-03-17,25998,511,4501,805,483,10269
2021-03-18,28462,553,4879,896,532,11214
2021-03-19,30723,595,5194,987,560,12089
2021-03-20,32382,623,5376,1036,581,12691
2021-03-21,33152,630,5488,1050,595,12971
2021-03-22,35119,665,5705,1134,623,13762
2021-03-23,37884,721,6069,1239,651,14833
2021-03-24,39571,749,6307,1302,679,15484
2021-03-25,39585,749,6307,1302,679,15491
total,1500611,33285,197981,84280,33201,578893
