,False,True
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,7,0
2020-12-04,7,0
2020-12-05,7,0
2020-12-06,7,0
2020-12-07,7,0
2020-12-08,14,0
2020-12-09,21,7
2020-12-10,35,14
2020-12-11,42,21
2020-12-12,49,21
2020-12-13,49,21
2020-12-14,56,28
2020-12-15,147,49
2020-12-16,378,119
2020-12-17,679,203
2020-12-18,826,245
2020-12-19,1050,280
2020-12-20,1288,329
2020-12-21,1547,385
2020-12-22,1764,427
2020-12-23,2576,637
2020-12-24,2982,728
2020-12-25,3010,735
2020-12-26,3038,742
2020-12-27,3038,742
2020-12-28,3038,742
2020-12-29,4277,1078
2020-12-30,10962,2716
2020-12-31,15253,3710
2021-01-01,15939,3892
2021-01-02,16464,4039
2021-01-03,16625,4067
2021-01-04,16709,4095
2021-01-05,17745,4347
2021-01-06,20006,4900
2021-01-07,24934,6139
2021-01-08,31584,7742
2021-01-09,37527,9142
2021-01-10,39277,9562
2021-01-11,43540,10570
2021-01-12,48097,11655
2021-01-13,53837,13083
2021-01-14,60760,14749
2021-01-15,68768,16723
2021-01-16,74046,17997
2021-01-17,76055,18501
2021-01-18,79464,19264
2021-01-19,82824,20097
2021-01-20,86499,20937
2021-01-21,90279,21875
2021-01-22,96082,23219
2021-01-23,98630,23800
2021-01-24,99715,24045
2021-01-25,100604,24234
2021-01-26,101577,24472
2021-01-27,102725,24745
2021-01-28,103936,25053
2021-01-29,105322,25368
2021-01-30,106064,25578
2021-01-31,106344,25662
2021-02-01,107051,25809
2021-02-02,107835,25970
2021-02-03,108612,26124
2021-02-04,109725,26369
2021-02-05,110880,26649
2021-02-06,111482,26789
2021-02-07,111678,26817
2021-02-08,112343,26992
2021-02-09,113267,27160
2021-02-10,114345,27384
2021-02-11,115409,27601
2021-02-12,116508,27888
2021-02-13,117047,27993
2021-02-14,117145,28014
2021-02-15,117803,28147
2021-02-16,118510,28308
2021-02-17,119154,28434
2021-02-18,119777,28595
2021-02-19,120337,28714
2021-02-20,120582,28763
2021-02-21,120617,28777
2021-02-22,120953,28854
2021-02-23,121464,28952
2021-02-24,121926,29050
2021-02-25,122472,29176
2021-02-26,122885,29260
2021-02-27,123074,29295
2021-02-28,123109,29302
2021-03-01,123235,29337
2021-03-02,123424,29386
2021-03-03,123802,29449
2021-03-04,124173,29512
2021-03-05,124600,29596
2021-03-06,124810,29638
2021-03-07,124845,29645
2021-03-08,125020,29680
2021-03-09,125230,29736
2021-03-10,125440,29799
2021-03-11,125636,29841
2021-03-12,125783,29876
2021-03-13,125937,29904
2021-03-14,125979,29918
2021-03-15,126084,29939
2021-03-16,126245,29974
2021-03-17,126392,30002
2021-03-18,126476,30016
total,138425,32326
