,False,True
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,7
2021-01-01,0,7
2021-01-02,7,7
2021-01-03,7,7
2021-01-04,14,7
2021-01-05,56,42
2021-01-06,175,119
2021-01-07,315,245
2021-01-08,392,294
2021-01-09,490,350
2021-01-10,574,420
2021-01-11,644,490
2021-01-12,665,504
2021-01-13,672,511
2021-01-14,693,518
2021-01-15,693,525
2021-01-16,693,525
2021-01-17,693,525
2021-01-18,700,525
2021-01-19,700,525
2021-01-20,721,546
2021-01-21,721,546
2021-01-22,728,553
2021-01-23,728,553
2021-01-24,728,553
2021-01-25,728,553
2021-01-26,728,553
2021-01-27,728,553
2021-01-28,749,560
2021-01-29,749,567
2021-01-30,749,567
2021-01-31,749,567
2021-02-01,749,567
2021-02-02,749,574
2021-02-03,749,574
2021-02-04,756,574
2021-02-05,770,581
2021-02-06,777,581
2021-02-07,777,581
2021-02-08,784,588
2021-02-09,791,588
2021-02-10,819,616
2021-02-11,826,630
2021-02-12,882,672
2021-02-13,903,686
2021-02-14,903,686
2021-02-15,917,700
2021-02-16,924,707
2021-02-17,938,721
2021-02-18,952,721
2021-02-19,966,735
2021-02-20,973,735
2021-02-21,973,735
2021-02-22,980,742
2021-02-23,1071,798
2021-02-24,1218,938
2021-02-25,1372,1050
2021-02-26,1442,1106
2021-02-27,1449,1113
2021-02-28,1456,1113
2021-03-01,1477,1127
2021-03-02,1785,1358
2021-03-03,2380,1715
2021-03-04,3409,2422
2021-03-05,4585,3262
2021-03-06,4998,3542
2021-03-07,5012,3556
2021-03-08,5229,3689
2021-03-09,5719,4018
2021-03-10,6853,4823
2021-03-11,7952,5558
2021-03-12,8673,6062
2021-03-13,8953,6230
2021-03-14,8960,6237
2021-03-15,9345,6468
2021-03-16,10472,7287
2021-03-17,12509,8617
2021-03-18,13545,9275
2021-03-19,13545,9275
2021-03-20,13545,9275
2021-03-21,13545,9275
2021-03-22,13545,9275
total,110110,60648
