,False,True
2020-12-08,0,0
2020-12-09,14,7
2020-12-10,14,14
2020-12-11,28,14
2020-12-12,28,14
2020-12-13,28,14
2020-12-14,35,21
2020-12-15,84,56
2020-12-16,238,168
2020-12-17,469,273
2020-12-18,574,322
2020-12-19,721,385
2020-12-20,910,462
2020-12-21,1113,553
2020-12-22,1274,623
2020-12-23,1862,896
2020-12-24,2142,1001
2020-12-25,2149,1008
2020-12-26,2170,1015
2020-12-27,2177,1015
2020-12-28,2177,1015
2020-12-29,3192,1414
2020-12-30,8022,3437
2020-12-31,11221,4697
2021-01-01,11725,4879
2021-01-02,12152,5075
2021-01-03,12264,5117
2021-01-04,12446,5208
2021-01-05,13307,5558
2021-01-06,15008,6314
2021-01-07,18067,7707
2021-01-08,20783,8988
2021-01-09,22302,9632
2021-01-10,22673,9793
2021-01-11,23100,9996
2021-01-12,23583,10192
2021-01-13,24304,10493
2021-01-14,24948,10808
2021-01-15,25585,11116
2021-01-16,25942,11284
2021-01-17,26124,11361
2021-01-18,26320,11431
2021-01-19,26593,11557
2021-01-20,26985,11725
2021-01-21,27146,11802
2021-01-22,27279,11837
2021-01-23,27370,11865
2021-01-24,27405,11872
2021-01-25,27419,11886
2021-01-26,27447,11893
2021-01-27,27489,11907
2021-01-28,27559,11921
2021-01-29,27762,11963
2021-01-30,27895,11991
2021-01-31,28014,12012
2021-02-01,28084,12019
2021-02-02,28154,12033
2021-02-03,28259,12040
2021-02-04,28364,12068
2021-02-05,28399,12075
2021-02-06,28420,12075
2021-02-07,28420,12075
2021-02-08,28434,12075
2021-02-09,28469,12075
2021-02-10,28539,12089
2021-02-11,28644,12096
2021-02-12,28728,12103
2021-02-13,28791,12110
2021-02-14,28805,12110
2021-02-15,28819,12110
2021-02-16,28861,12117
2021-02-17,28994,12124
2021-02-18,29106,12131
2021-02-19,29162,12138
2021-02-20,29176,12145
2021-02-21,29183,12145
2021-02-22,29190,12145
2021-02-23,29267,12152
2021-02-24,29421,12159
2021-02-25,29610,12187
2021-02-26,29799,12194
2021-02-27,29869,12194
2021-02-28,29883,12194
2021-03-01,29883,12194
2021-03-02,29890,12201
2021-03-03,29939,12215
2021-03-04,30128,12299
2021-03-05,30443,12390
2021-03-06,30485,12411
2021-03-07,30485,12411
2021-03-08,30485,12411
2021-03-09,30520,12439
2021-03-10,30660,12502
2021-03-11,30744,12544
2021-03-12,30884,12593
2021-03-13,30891,12593
2021-03-14,30891,12593
2021-03-15,30891,12593
2021-03-16,30954,12621
2021-03-17,31108,12698
2021-03-18,31269,12761
total,128100,42651
