,F,M
2020-12-08,7,0
2020-12-09,14,7
2020-12-10,21,7
2020-12-11,28,14
2020-12-12,28,14
2020-12-13,28,14
2020-12-14,35,14
2020-12-15,91,49
2020-12-16,266,140
2020-12-17,483,259
2020-12-18,581,315
2020-12-19,714,392
2020-12-20,875,497
2020-12-21,1071,595
2020-12-22,1225,672
2020-12-23,1834,924
2020-12-24,2100,1043
2020-12-25,2114,1043
2020-12-26,2142,1043
2020-12-27,2142,1050
2020-12-28,2142,1050
2020-12-29,3066,1540
2020-12-30,7770,3682
2020-12-31,10927,4991
2021-01-01,11403,5201
2021-01-02,11830,5397
2021-01-03,11935,5446
2021-01-04,12110,5544
2021-01-05,12887,5978
2021-01-06,14609,6713
2021-01-07,17745,8036
2021-01-08,20566,9198
2021-01-09,22120,9814
2021-01-10,22491,9975
2021-01-11,22939,10157
2021-01-12,23394,10381
2021-01-13,24052,10745
2021-01-14,24717,11039
2021-01-15,25340,11361
2021-01-16,25690,11529
2021-01-17,25872,11613
2021-01-18,26068,11683
2021-01-19,26334,11816
2021-01-20,26712,11991
2021-01-21,26880,12068
2021-01-22,26978,12138
2021-01-23,27041,12187
2021-01-24,27069,12215
2021-01-25,27083,12222
2021-01-26,27104,12229
2021-01-27,27132,12257
2021-01-28,27174,12306
2021-01-29,27300,12425
2021-01-30,27384,12502
2021-01-31,27461,12565
2021-02-01,27496,12614
2021-02-02,27531,12656
2021-02-03,27594,12712
2021-02-04,27657,12775
2021-02-05,27671,12803
2021-02-06,27678,12817
2021-02-07,27678,12817
2021-02-08,27678,12831
2021-02-09,27699,12852
2021-02-10,27727,12901
2021-02-11,27783,12957
2021-02-12,27825,13006
2021-02-13,27867,13041
2021-02-14,27874,13048
2021-02-15,27881,13055
2021-02-16,27895,13083
2021-02-17,27958,13167
2021-02-18,28021,13223
2021-02-19,28049,13258
2021-02-20,28056,13265
2021-02-21,28056,13265
2021-02-22,28056,13272
2021-02-23,28098,13321
2021-02-24,28175,13405
2021-02-25,28280,13510
2021-02-26,28357,13636
2021-02-27,28385,13678
2021-02-28,28392,13685
2021-03-01,28392,13685
2021-03-02,28392,13692
2021-03-03,28434,13713
2021-03-04,28637,13790
2021-03-05,28861,13972
2021-03-06,28896,14000
2021-03-07,28896,14000
2021-03-08,28903,14000
2021-03-09,28945,14014
2021-03-10,29078,14077
2021-03-11,29162,14126
2021-03-12,29281,14196
2021-03-13,29281,14203
2021-03-14,29281,14203
2021-03-15,29288,14203
2021-03-16,29344,14224
2021-03-17,29519,14280
2021-03-18,29687,14343
total,108276,62475
