,False,True
2020-12-08,0,7
2020-12-09,0,14
2020-12-10,7,21
2020-12-11,14,28
2020-12-12,14,28
2020-12-13,14,28
2020-12-14,14,35
2020-12-15,49,91
2020-12-16,119,266
2020-12-17,217,504
2020-12-18,273,602
2020-12-19,350,721
2020-12-20,441,889
2020-12-21,532,1085
2020-12-22,623,1239
2020-12-23,770,1939
2020-12-24,889,2198
2020-12-25,889,2212
2020-12-26,917,2212
2020-12-27,917,2219
2020-12-28,917,2219
2020-12-29,1225,3318
2020-12-30,2478,8911
2020-12-31,3304,12516
2021-01-01,3458,13041
2021-01-02,3584,13538
2021-01-03,3626,13657
2021-01-04,3668,13888
2021-01-05,3899,14833
2021-01-06,4382,16807
2021-01-07,5257,20370
2021-01-08,6006,23555
2021-01-09,6433,25284
2021-01-10,6531,25711
2021-01-11,6657,26222
2021-01-12,6804,26754
2021-01-13,7056,27524
2021-01-14,7266,28273
2021-01-15,7525,28952
2021-01-16,7672,29316
2021-01-17,7735,29505
2021-01-18,7805,29708
2021-01-19,7938,29925
2021-01-20,8085,30331
2021-01-21,8155,30499
2021-01-22,8218,30597
2021-01-23,8274,30646
2021-01-24,8295,30674
2021-01-25,8309,30681
2021-01-26,8323,30695
2021-01-27,8351,30730
2021-01-28,8393,30772
2021-01-29,8533,30877
2021-01-30,8617,30947
2021-01-31,8694,31017
2021-02-01,8736,31059
2021-02-02,8764,31101
2021-02-03,8827,31157
2021-02-04,8897,31213
2021-02-05,8918,31234
2021-02-06,8925,31248
2021-02-07,8925,31248
2021-02-08,8932,31248
2021-02-09,8960,31262
2021-02-10,9009,31297
2021-02-11,9058,31353
2021-02-12,9121,31381
2021-02-13,9163,31409
2021-02-14,9177,31409
2021-02-15,9191,31416
2021-02-16,9219,31430
2021-02-17,9317,31472
2021-02-18,9401,31507
2021-02-19,9457,31521
2021-02-20,9464,31528
2021-02-21,9464,31528
2021-02-22,9471,31535
2021-02-23,9513,31563
2021-02-24,9632,31612
2021-02-25,9772,31682
2021-02-26,9905,31738
2021-02-27,9968,31752
2021-02-28,9975,31752
2021-03-01,9975,31759
2021-03-02,9982,31759
2021-03-03,9989,31808
2021-03-04,10038,32046
2021-03-05,10115,32361
2021-03-06,10129,32417
2021-03-07,10129,32417
2021-03-08,10129,32417
2021-03-09,10136,32466
2021-03-10,10178,32620
2021-03-11,10192,32669
2021-03-12,10199,32676
total,49245,120666
