,False,True
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,7,0
2020-12-19,7,0
2020-12-20,7,0
2020-12-21,14,7
2020-12-22,14,7
2020-12-23,28,14
2020-12-24,28,14
2020-12-25,28,14
2020-12-26,28,14
2020-12-27,28,14
2020-12-28,28,14
2020-12-29,35,14
2020-12-30,56,28
2020-12-31,63,28
2021-01-01,63,28
2021-01-02,77,35
2021-01-03,77,35
2021-01-04,84,42
2021-01-05,119,56
2021-01-06,154,70
2021-01-07,518,266
2021-01-08,2107,1008
2021-01-09,4732,2289
2021-01-10,5663,2716
2021-01-11,8575,4067
2021-01-12,12334,5929
2021-01-13,18102,8568
2021-01-14,27314,12775
2021-01-15,37527,17346
2021-01-16,46032,21441
2021-01-17,50169,23247
2021-01-18,57400,26593
2021-01-19,65401,30569
2021-01-20,73255,34279
2021-01-21,92715,42728
2021-01-22,115248,52892
2021-01-23,136402,62006
2021-01-24,142639,64855
2021-01-25,151697,69076
2021-01-26,160867,73773
2021-01-27,170009,78351
2021-01-28,179732,83230
2021-01-29,188195,87661
2021-01-30,195657,91329
2021-01-31,197519,92295
2021-02-01,201201,94416
2021-02-02,204953,96628
2021-02-03,208740,98805
2021-02-04,212891,101206
2021-02-05,217245,103516
2021-02-06,220542,105245
2021-02-07,222145,106022
2021-02-08,224756,107541
2021-02-09,227689,109291
2021-02-10,230825,111244
2021-02-11,233695,112917
2021-02-12,236635,114548
2021-02-13,238672,115591
2021-02-14,239358,115934
2021-02-15,240464,116550
2021-02-16,241556,117096
2021-02-17,242543,117614
2021-02-18,243474,118146
2021-02-19,244251,118573
2021-02-20,244867,118881
2021-02-21,245077,118986
2021-02-22,245581,119287
2021-02-23,246204,119651
2021-02-24,246820,119980
2021-02-25,247450,120337
2021-02-26,248024,120645
2021-02-27,248409,120827
2021-02-28,248570,120897
2021-03-01,248934,121044
2021-03-02,249396,121275
2021-03-03,249872,121520
2021-03-04,250509,121898
2021-03-05,251286,122325
2021-03-06,251804,122563
2021-03-07,251951,122633
2021-03-08,252217,122787
2021-03-09,252581,122976
2021-03-10,252973,123193
2021-03-11,253407,123424
2021-03-12,253792,123627
2021-03-13,254114,123746
2021-03-14,254233,123809
2021-03-15,254478,123928
2021-03-16,254786,124096
2021-03-17,255066,124229
2021-03-18,255185,124285
2021-03-19,255185,124292
total,995414,446047
