,False,True
2020-12-16,0,0
2020-12-17,7,0
2020-12-18,7,0
2020-12-19,7,0
2020-12-20,7,0
2020-12-21,21,0
2020-12-22,28,0
2020-12-23,42,0
2020-12-24,42,0
2020-12-25,42,0
2020-12-26,42,0
2020-12-27,42,0
2020-12-28,42,0
2020-12-29,49,0
2020-12-30,84,0
2020-12-31,91,0
2021-01-01,91,0
2021-01-02,119,0
2021-01-03,119,0
2021-01-04,126,0
2021-01-05,175,0
2021-01-06,224,0
2021-01-07,777,7
2021-01-08,3087,28
2021-01-09,6958,63
2021-01-10,8316,70
2021-01-11,12537,105
2021-01-12,18109,147
2021-01-13,26467,210
2021-01-14,39774,315
2021-01-15,54439,434
2021-01-16,66913,560
2021-01-17,72814,602
2021-01-18,83293,700
2021-01-19,95186,784
2021-01-20,106673,868
2021-01-21,134351,1092
2021-01-22,166789,1351
2021-01-23,196819,1596
2021-01-24,205828,1666
2021-01-25,219002,1764
2021-01-26,232778,1862
2021-01-27,246407,1953
2021-01-28,260904,2051
2021-01-29,273693,2163
2021-01-30,284732,2254
2021-01-31,287518,2289
2021-02-01,293307,2317
2021-02-02,299229,2352
2021-02-03,305158,2387
2021-02-04,311661,2436
2021-02-05,318283,2478
2021-02-06,323267,2520
2021-02-07,325619,2541
2021-02-08,329721,2576
2021-02-09,334383,2597
2021-02-10,339430,2639
2021-02-11,343945,2667
2021-02-12,348481,2702
2021-02-13,351533,2730
2021-02-14,352555,2730
2021-02-15,354270,2744
2021-02-16,355894,2751
2021-02-17,357399,2758
2021-02-18,358855,2765
2021-02-19,360045,2772
2021-02-20,360976,2772
2021-02-21,361284,2779
2021-02-22,362082,2786
2021-02-23,363062,2793
2021-02-24,364007,2793
2021-02-25,364987,2793
2021-02-26,365869,2800
2021-02-27,366436,2800
2021-02-28,366660,2807
2021-03-01,367171,2807
2021-03-02,367857,2814
2021-03-03,368571,2814
2021-03-04,369586,2828
2021-03-05,370776,2835
2021-03-06,371532,2835
2021-03-07,371742,2835
2021-03-08,372169,2842
2021-03-09,372715,2849
2021-03-10,373317,2849
2021-03-11,373975,2856
2021-03-12,374563,2856
2021-03-13,375004,2856
2021-03-14,375179,2863
2021-03-15,375543,2863
2021-03-16,376012,2863
2021-03-17,376432,2870
2021-03-18,376607,2870
2021-03-19,376607,2870
total,1429967,11494
