,False,True
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,350,0
2020-12-30,812,0
2020-12-31,1589,0
2021-01-01,1701,0
2021-01-02,2317,0
2021-01-03,2814,0
2021-01-04,4221,14
2021-01-05,22400,98
2021-01-06,57568,280
2021-01-07,92085,434
2021-01-08,118692,574
2021-01-09,150402,721
2021-01-10,167748,819
2021-01-11,172802,840
2021-01-12,176512,868
2021-01-13,178808,882
2021-01-14,179655,882
2021-01-15,180166,889
2021-01-16,180369,889
2021-01-17,180418,889
2021-01-18,180684,896
2021-01-19,181027,896
2021-01-20,181447,896
2021-01-21,181965,896
2021-01-22,182007,896
2021-01-23,182063,896
2021-01-24,182091,896
2021-01-25,182154,903
2021-01-26,182210,903
2021-01-27,182280,903
2021-01-28,182357,903
2021-01-29,182434,903
2021-01-30,182504,903
2021-01-31,182581,903
2021-02-01,182644,903
2021-02-02,182707,910
2021-02-03,182903,910
2021-02-04,183036,910
2021-02-05,183106,910
2021-02-06,183120,910
2021-02-07,183141,910
2021-02-08,183176,910
2021-02-09,183274,910
2021-02-10,184002,917
2021-02-11,184576,924
2021-02-12,184716,931
2021-02-13,184793,931
2021-02-14,184807,931
2021-02-15,184863,931
2021-02-16,184968,931
2021-02-17,185052,931
2021-02-18,185164,938
2021-02-19,185255,938
2021-02-20,185311,938
2021-02-21,185325,938
2021-02-22,185437,938
2021-02-23,185948,938
2021-02-24,186585,938
2021-02-25,187355,945
2021-02-26,188279,945
2021-02-27,189574,952
2021-02-28,190162,959
2021-03-01,190862,959
2021-03-02,198128,994
2021-03-03,211358,1078
2021-03-04,225232,1148
2021-03-05,232463,1197
2021-03-06,236873,1218
2021-03-07,237377,1225
2021-03-08,238567,1232
2021-03-09,247569,1267
2021-03-10,262122,1358
2021-03-11,277354,1435
2021-03-12,283255,1477
2021-03-13,283255,1477
total,1427440,11067
