,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,595,105
2020-12-09,1162,238
2020-12-10,1981,406
2020-12-11,3073,609
2020-12-12,3864,777
2020-12-13,4018,805
2020-12-14,5152,1001
2020-12-15,20363,3843
2020-12-16,48839,8890
2020-12-17,76013,13846
2020-12-18,98896,17857
2020-12-19,126819,23142
2020-12-20,147035,26845
2020-12-21,160790,29358
2020-12-22,185311,34090
2020-12-23,204631,37730
2020-12-24,210021,38759
2020-12-25,210028,38759
2020-12-26,210049,38766
2020-12-27,210098,38773
2020-12-28,210245,38815
2020-12-29,217028,40075
2020-12-30,231889,43064
2020-12-31,242550,45227
2021-01-01,245336,45787
2021-01-02,249977,46627
2021-01-03,250628,46732
2021-01-04,251713,46921
2021-01-05,256368,47782
2021-01-06,265300,49469
2021-01-07,299159,56021
2021-01-08,344757,64729
2021-01-09,391202,73598
2021-01-10,411726,77609
2021-01-11,420294,79198
2021-01-12,442071,83139
2021-01-13,480956,89873
2021-01-14,524762,97594
2021-01-15,576975,106722
2021-01-16,622335,114856
2021-01-17,640927,118132
2021-01-18,648788,119490
2021-01-19,686280,125797
2021-01-20,711368,129969
2021-01-21,723457,131852
2021-01-22,737240,134211
2021-01-23,747418,136017
2021-01-24,750442,136577
2021-01-25,751947,136815
2021-01-26,753193,137004
2021-01-27,754747,137277
2021-01-28,760536,138264
2021-01-29,766801,139377
2021-01-30,770777,140091
2021-01-31,773451,140567
2021-02-01,774865,140805
2021-02-02,775803,140973
2021-02-03,777049,141211
2021-02-04,777812,141330
2021-02-05,778085,141393
2021-02-06,778176,141407
2021-02-07,778218,141421
2021-02-08,778288,141435
2021-02-09,778519,141470
2021-02-10,778855,141547
2021-02-11,779338,141652
2021-02-12,779709,141729
2021-02-13,779926,141764
2021-02-14,779982,141771
2021-02-15,780045,141785
2021-02-16,780241,141820
2021-02-17,780563,141883
2021-02-18,780913,141939
2021-02-19,781067,141981
2021-02-20,781137,141995
2021-02-21,781158,141995
2021-02-22,781207,142009
2021-02-23,781459,142051
2021-02-24,781816,142114
2021-02-25,782278,142212
2021-02-26,782726,142296
2021-02-27,782985,142345
2021-02-28,783104,142366
2021-03-01,783174,142373
2021-03-02,783797,142499
2021-03-03,785799,142919
2021-03-04,788074,143388
2021-03-05,789313,143633
2021-03-06,789817,143696
2021-03-07,789873,143710
2021-03-08,789985,143724
2021-03-09,791350,144046
2021-03-10,793373,144515
2021-03-11,795529,144935
2021-03-12,797468,145320
2021-03-13,798308,145474
2021-03-14,798476,145502
2021-03-15,798672,145551
2021-03-16,799596,145719
2021-03-17,800975,145999
2021-03-18,801829,146195
total,1203860,237608
