,1,2,3,4,5,6
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,455,0,21,7,0,203
2020-12-09,980,0,42,14,0,357
2020-12-10,1680,0,63,28,7,602
2020-12-11,2618,7,91,35,7,910
2020-12-12,3339,7,119,42,7,1099
2020-12-13,3444,7,119,42,7,1176
2020-12-14,4361,14,154,56,14,1526
2020-12-15,17024,63,665,245,84,5971
2020-12-16,39851,168,1694,567,210,15057
2020-12-17,61026,266,2884,917,357,24171
2020-12-18,78869,336,3703,1134,455,31969
2020-12-19,100548,427,4382,1316,567,42371
2020-12-20,116424,490,5075,1463,651,49399
2020-12-21,127659,539,5502,1561,721,53718
2020-12-22,148449,595,5957,1694,784,61362
2020-12-23,165144,630,6167,1750,854,67130
2020-12-24,169617,651,6251,1764,875,68929
2020-12-25,169624,651,6251,1764,875,68936
2020-12-26,169638,651,6251,1764,875,68943
2020-12-27,169666,651,6251,1764,875,68971
2020-12-28,169785,651,6265,1764,875,69034
2020-12-29,175266,679,6531,1827,903,71204
2020-12-30,187579,721,7021,1939,973,75950
2020-12-31,196329,749,7350,2037,1008,79527
2021-01-01,198555,756,7399,2044,1015,80542
2021-01-02,201845,777,7560,2079,1043,82453
2021-01-03,202377,777,7574,2079,1043,82663
2021-01-04,203294,784,7595,2093,1050,82978
2021-01-05,206871,805,7854,2170,1071,84525
2021-01-06,214186,840,8309,2310,1113,87143
2021-01-07,241878,938,9310,2604,1253,97965
2021-01-08,279230,1099,10619,3108,1435,112371
2021-01-09,315700,1246,11830,3521,1631,128758
2021-01-10,332087,1309,12523,3731,1708,135870
2021-01-11,338891,1330,12859,3829,1743,138705
2021-01-12,356237,1400,13447,3955,1827,146076
2021-01-13,385952,1519,14574,4333,1974,159985
2021-01-14,420014,1715,16184,4991,2163,174706
2021-01-15,461489,1946,17654,5740,2401,191709
2021-01-16,497434,2128,18984,6545,2632,206549
2021-01-17,512211,2198,19467,6741,2702,212751
2021-01-18,518287,2226,19663,6846,2730,215516
2021-01-19,547757,2352,20538,7259,2863,228179
2021-01-20,567917,2443,21147,7588,2940,236110
2021-01-21,577367,2499,21532,7826,2996,239813
2021-01-22,587916,2555,21812,7973,3073,244818
2021-01-23,595896,2590,22036,8134,3129,248318
2021-01-24,598262,2597,22120,8183,3143,249375
2021-01-25,599158,2597,22141,8197,3150,250166
2021-01-26,600005,2604,22169,8211,3157,250698
2021-01-27,601097,2604,22211,8246,3164,251356
2021-01-28,605752,2632,22372,8358,3185,253113
2021-01-29,610456,2667,22554,8561,3213,255318
2021-01-30,613466,2681,22708,8708,3234,256641
2021-01-31,615482,2695,22827,8792,3248,257537
2021-02-01,616462,2702,22904,8862,3262,258034
2021-02-02,617120,2709,22967,8918,3269,258356
2021-02-03,618030,2716,23030,8988,3276,258783
2021-02-04,618555,2730,23072,9023,3276,259042
2021-02-05,618758,2730,23086,9051,3276,259133
2021-02-06,618821,2730,23093,9051,3283,259161
2021-02-07,618863,2730,23093,9058,3283,259182
2021-02-08,618912,2737,23093,9065,3283,259196
2021-02-09,619087,2737,23107,9065,3283,259266
2021-02-10,619325,2737,23142,9093,3283,259371
2021-02-11,619689,2744,23177,9142,3290,259511
2021-02-12,619941,2744,23205,9170,3290,259651
2021-02-13,620081,2744,23226,9191,3290,259707
2021-02-14,620116,2744,23233,9191,3297,259728
2021-02-15,620151,2744,23233,9212,3297,259756
2021-02-16,620242,2751,23261,9240,3297,259826
2021-02-17,620438,2758,23296,9275,3304,259931
2021-02-18,620655,2765,23338,9303,3311,260043
2021-02-19,620732,2765,23359,9324,3318,260106
2021-02-20,620774,2772,23359,9331,3318,260134
2021-02-21,620788,2772,23359,9331,3318,260134
2021-02-22,620816,2779,23366,9338,3318,260155
2021-02-23,620991,2779,23401,9352,3325,260225
2021-02-24,621222,2779,23443,9387,3332,260323
2021-02-25,621544,2786,23499,9422,3332,260449
2021-02-26,621852,2793,23562,9464,3339,260575
2021-02-27,622006,2793,23604,9471,3346,260659
2021-02-28,622062,2793,23611,9485,3346,260722
2021-03-01,622111,2793,23611,9485,3346,260743
2021-03-02,622601,2793,23625,9485,3346,260974
2021-03-03,624421,2800,23667,9499,3353,261478
2021-03-04,626339,2800,23723,9520,3360,262234
2021-03-05,627361,2800,23730,9534,3367,262647
2021-03-06,627662,2800,23751,9541,3367,262892
2021-03-07,627697,2800,23758,9541,3367,262913
2021-03-08,627788,2800,23758,9541,3367,262934
2021-03-09,629104,2807,23765,9548,3367,263270
2021-03-10,631085,2807,23779,9548,3374,263725
2021-03-11,633052,2814,23828,9555,3381,264229
2021-03-12,633822,2814,23842,9562,3388,264369
total,938651,5929,43281,26824,6909,416899
