,False,True
2020-12-29,7,14
2020-12-30,7,28
2020-12-31,14,49
2021-01-01,21,49
2021-01-02,21,56
2021-01-03,28,63
2021-01-04,42,84
2021-01-05,105,210
2021-01-06,280,518
2021-01-07,448,756
2021-01-08,686,1127
2021-01-09,1029,1645
2021-01-10,1400,2282
2021-01-11,1582,2646
2021-01-12,1729,2884
2021-01-13,1764,2947
2021-01-14,1799,2982
2021-01-15,1813,2996
2021-01-16,1820,3003
2021-01-17,1820,3003
2021-01-18,1820,3017
2021-01-19,1834,3038
2021-01-20,1848,3066
2021-01-21,1855,3080
2021-01-22,1862,3087
2021-01-23,1862,3094
2021-01-24,1862,3101
2021-01-25,1862,3101
2021-01-26,1869,3101
2021-01-27,1869,3108
2021-01-28,1876,3122
2021-01-29,1890,3157
2021-01-30,1904,3185
2021-01-31,1925,3213
2021-02-01,1939,3227
2021-02-02,1953,3248
2021-02-03,1967,3269
2021-02-04,1988,3297
2021-02-05,1995,3318
2021-02-06,2009,3325
2021-02-07,2016,3325
2021-02-08,2016,3339
2021-02-09,2030,3367
2021-02-10,2044,3402
2021-02-11,2107,3493
2021-02-12,2163,3591
2021-02-13,2191,3633
2021-02-14,2198,3640
2021-02-15,2212,3668
2021-02-16,2233,3710
2021-02-17,2254,3752
2021-02-18,2275,3801
2021-02-19,2296,3836
2021-02-20,2317,3857
2021-02-21,2324,3864
2021-02-22,2352,3899
2021-02-23,2387,3955
2021-02-24,2450,4053
2021-02-25,2506,4144
2021-02-26,2562,4256
2021-02-27,2625,4347
2021-02-28,2667,4424
2021-03-01,2702,4459
2021-03-02,2898,4732
2021-03-03,3283,5271
2021-03-04,3563,5691
2021-03-05,3983,6447
2021-03-06,4179,6839
2021-03-07,4193,6860
2021-03-08,4312,7042
2021-03-09,4627,7581
2021-03-10,5208,8498
2021-03-11,5663,9247
2021-03-12,6104,9989
2021-03-13,6468,10640
2021-03-14,6538,10724
2021-03-15,6762,11095
2021-03-16,7483,12236
2021-03-17,8701,14378
2021-03-18,10171,16660
2021-03-19,11823,19292
2021-03-20,13741,22456
2021-03-21,13979,22813
2021-03-22,14819,24157
2021-03-23,17759,28847
2021-03-24,21315,34083
2021-03-25,21364,34153
total,453096,650937
