,False,True
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,7,0
2020-12-28,7,0
2020-12-29,14,0
2020-12-30,21,0
2020-12-31,28,0
2021-01-01,35,0
2021-01-02,56,7
2021-01-03,56,7
2021-01-04,91,7
2021-01-05,203,21
2021-01-06,287,21
2021-01-07,511,49
2021-01-08,1197,175
2021-01-09,2093,301
2021-01-10,2527,371
2021-01-11,3465,490
2021-01-12,4543,679
2021-01-13,5600,861
2021-01-14,7294,1085
2021-01-15,10381,1512
2021-01-16,12978,1820
2021-01-17,13860,1946
2021-01-18,15491,2205
2021-01-19,17696,2548
2021-01-20,21399,3066
2021-01-21,35637,4627
2021-01-22,55811,6860
2021-01-23,83916,9744
2021-01-24,99127,11165
2021-01-25,115283,12859
2021-01-26,138831,15379
2021-01-27,164941,18221
2021-01-28,191702,21140
2021-01-29,229817,25249
2021-01-30,278397,29904
2021-01-31,302918,32116
2021-02-01,336973,35427
2021-02-02,383656,39977
2021-02-03,425775,44205
2021-02-04,492310,50673
2021-02-05,597807,60830
2021-02-06,736211,74137
2021-02-07,795452,79772
2021-02-08,856247,85708
2021-02-09,910525,91364
2021-02-10,953890,96152
2021-02-11,986594,100009
2021-02-12,1021958,104216
2021-02-13,1060003,108339
2021-02-14,1070839,109466
2021-02-15,1081906,110852
2021-02-16,1089963,111958
2021-02-17,1096697,112861
2021-02-18,1104089,113876
2021-02-19,1112118,114877
2021-02-20,1123192,116060
2021-02-21,1127252,116410
2021-02-22,1132894,117019
2021-02-23,1139775,117852
2021-02-24,1146936,118615
2021-02-25,1158297,119665
2021-02-26,1170680,120680
2021-02-27,1184484,121688
2021-02-28,1190700,122080
2021-03-01,1198008,122647
2021-03-02,1206436,123305
2021-03-03,1215347,124068
2021-03-04,1227842,125209
2021-03-05,1242528,126546
2021-03-06,1256962,127610
2021-03-07,1261337,127904
2021-03-08,1266153,128289
2021-03-09,1271354,128744
2021-03-10,1276296,129171
2021-03-11,1280545,129542
2021-03-12,1285711,130018
2021-03-13,1292543,130522
2021-03-14,1295119,130704
2021-03-15,1298619,131012
2021-03-16,1302287,131348
2021-03-17,1305479,131635
2021-03-18,1308783,131929
2021-03-19,1312612,132251
2021-03-20,1317239,132608
2021-03-21,1319038,132741
2021-03-22,1321026,132909
2021-03-23,1323189,133091
2021-03-24,1324127,133161
2021-03-25,1324127,133161
total,2432465,233009
