,False,True
2020-12-08,210,7
2020-12-09,518,21
2020-12-10,896,35
2020-12-11,1337,56
2020-12-12,1652,77
2020-12-13,1764,84
2020-12-14,2037,98
2020-12-15,2604,119
2020-12-16,3360,154
2020-12-17,4298,189
2020-12-18,5313,238
2020-12-19,6419,273
2020-12-20,7588,329
2020-12-21,8855,385
2020-12-22,10045,434
2020-12-23,11382,497
2020-12-24,12019,525
2020-12-25,12033,525
2020-12-26,12117,525
2020-12-27,12264,532
2020-12-28,12523,553
2020-12-29,13608,616
2020-12-30,15680,707
2020-12-31,17717,819
2021-01-01,18305,847
2021-01-02,19236,882
2021-01-03,19775,903
2021-01-04,20566,938
2021-01-05,22470,1008
2021-01-06,24598,1127
2021-01-07,28938,1344
2021-01-08,34195,1582
2021-01-09,39543,1778
2021-01-10,42133,1883
2021-01-11,45220,1981
2021-01-12,49847,2191
2021-01-13,57694,2562
2021-01-14,67837,2968
2021-01-15,76818,3360
2021-01-16,81935,3619
2021-01-17,86303,3829
2021-01-18,90846,4032
2021-01-19,104293,4704
2021-01-20,123340,5761
2021-01-21,140245,6622
2021-01-22,164640,7812
2021-01-23,192745,9142
2021-01-24,206129,9716
2021-01-25,211708,9996
2021-01-26,218120,10283
2021-01-27,227836,10731
2021-01-28,256858,12117
2021-01-29,311696,14553
2021-01-30,370594,16870
2021-01-31,418369,18802
2021-02-01,448161,20139
2021-02-02,484519,21623
2021-02-03,555870,24549
2021-02-04,607964,26607
2021-02-05,627809,27405
2021-02-06,634263,27657
2021-02-07,636825,27741
2021-02-08,640745,27930
2021-02-09,656355,28630
2021-02-10,673526,29372
2021-02-11,696500,30478
2021-02-12,711970,31311
2021-02-13,719670,31745
2021-02-14,721091,31822
2021-02-15,722680,31927
2021-02-16,728588,32354
2021-02-17,739557,33264
2021-02-18,749462,34111
2021-02-19,755559,34664
2021-02-20,758821,34916
2021-02-21,759710,34979
2021-02-22,761404,35119
2021-02-23,769713,35742
2021-02-24,784280,36813
2021-02-25,800310,37996
2021-02-26,814814,39004
2021-02-27,824082,39592
2021-02-28,825825,39697
2021-03-01,826266,39725
2021-03-02,826525,39739
2021-03-03,827015,39767
2021-03-04,827421,39795
2021-03-05,828016,39837
2021-03-06,828240,39844
2021-03-07,828338,39844
2021-03-08,828443,39851
2021-03-09,828814,39872
2021-03-10,829143,39886
2021-03-11,829451,39900
2021-03-12,829703,39914
2021-03-13,829857,39921
2021-03-14,829920,39928
2021-03-15,830011,39935
2021-03-16,830186,39935
2021-03-17,830452,39956
2021-03-18,830788,39977
2021-03-19,831005,39984
2021-03-20,831159,39998
2021-03-21,831201,39998
2021-03-22,831306,40005
2021-03-23,831453,40012
2021-03-24,831558,40012
total,2545557,119917
