,F,M
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,49,35
2020-12-09,133,84
2020-12-10,252,133
2020-12-11,385,203
2020-12-12,490,245
2020-12-13,532,259
2020-12-14,651,308
2020-12-15,868,413
2020-12-16,1141,553
2020-12-17,1512,735
2020-12-18,1897,924
2020-12-19,2254,1141
2020-12-20,2716,1372
2020-12-21,3234,1603
2020-12-22,3689,1834
2020-12-23,4179,2058
2020-12-24,4396,2156
2020-12-25,4403,2163
2020-12-26,4424,2177
2020-12-27,4473,2198
2020-12-28,4571,2233
2020-12-29,4970,2429
2020-12-30,5733,2793
2020-12-31,6370,3171
2021-01-01,6608,3269
2021-01-02,6867,3402
2021-01-03,7042,3486
2021-01-04,7329,3612
2021-01-05,7966,3871
2021-01-06,8932,4270
2021-01-07,10283,4970
2021-01-08,12005,5859
2021-01-09,13503,6699
2021-01-10,14301,7161
2021-01-11,15225,7567
2021-01-12,16422,8148
2021-01-13,18018,8953
2021-01-14,19866,10052
2021-01-15,22001,11333
2021-01-16,23639,12145
2021-01-17,24577,12642
2021-01-18,25893,13300
2021-01-19,27503,14161
2021-01-20,29337,15218
2021-01-21,32102,17108
2021-01-22,35266,19306
2021-01-23,38591,21847
2021-01-24,40397,23198
2021-01-25,42070,24367
2021-01-26,44051,25949
2021-01-27,46690,27944
2021-01-28,50491,31171
2021-01-29,56014,35945
2021-01-30,62657,41657
2021-01-31,68614,47250
2021-02-01,74221,52563
2021-02-02,80409,58184
2021-02-03,87402,64554
2021-02-04,97055,73605
2021-02-05,110306,86156
2021-02-06,126602,100975
2021-02-07,135583,109802
2021-02-08,146839,120659
2021-02-09,166915,140777
2021-02-10,196833,171129
2021-02-11,241528,215348
2021-02-12,294000,267015
2021-02-13,347760,319074
2021-02-14,369061,339311
2021-02-15,392588,362460
2021-02-16,424998,394366
2021-02-17,458206,426937
2021-02-18,488187,456330
2021-02-19,507437,475650
2021-02-20,524881,492485
2021-02-21,530824,498617
2021-02-22,538468,506618
2021-02-23,548191,516278
2021-02-24,560168,528059
2021-02-25,573349,540792
2021-02-26,584437,551544
2021-02-27,592277,559083
2021-02-28,595539,562233
2021-03-01,598535,565145
2021-03-02,601475,568064
2021-03-03,604996,571347
2021-03-04,609252,575400
2021-03-05,614222,580083
2021-03-06,618513,584388
2021-03-07,619710,585655
2021-03-08,621663,587727
2021-03-09,623238,589316
2021-03-10,624939,591010
2021-03-11,626542,592620
2021-03-12,627235,593369
2021-03-13,627235,593369
total,711382,684341
