,False,True
2020-11-30,0,0
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,7,0
2020-12-05,7,0
2020-12-06,7,0
2020-12-07,7,0
2020-12-08,91,0
2020-12-09,224,0
2020-12-10,385,0
2020-12-11,588,0
2020-12-12,728,7
2020-12-13,784,7
2020-12-14,959,7
2020-12-15,1281,7
2020-12-16,1694,7
2020-12-17,2254,7
2020-12-18,2821,14
2020-12-19,3402,14
2020-12-20,4088,21
2020-12-21,4837,21
2020-12-22,5523,28
2020-12-23,6237,28
2020-12-24,6545,35
2020-12-25,6559,35
2020-12-26,6594,35
2020-12-27,6657,35
2020-12-28,6797,42
2020-12-29,7392,42
2020-12-30,8526,49
2020-12-31,9527,49
2021-01-01,9863,56
2021-01-02,10255,56
2021-01-03,10514,63
2021-01-04,10927,63
2021-01-05,11830,63
2021-01-06,13174,77
2021-01-07,15218,105
2021-01-08,17822,119
2021-01-09,20153,140
2021-01-10,21420,147
2021-01-11,22750,161
2021-01-12,24528,168
2021-01-13,26922,182
2021-01-14,29869,196
2021-01-15,33278,210
2021-01-16,35721,231
2021-01-17,37156,245
2021-01-18,39144,252
2021-01-19,41608,266
2021-01-20,44485,287
2021-01-21,49140,315
2021-01-22,54495,350
2021-01-23,60347,385
2021-01-24,63504,406
2021-01-25,66325,420
2021-01-26,69909,434
2021-01-27,74515,462
2021-01-28,81501,497
2021-01-29,91791,553
2021-01-30,104160,637
2021-01-31,115675,693
2021-02-01,126574,749
2021-02-02,138320,819
2021-02-03,151683,896
2021-02-04,170282,1015
2021-02-05,196014,1148
2021-02-06,227038,1330
2021-02-07,244727,1421
2021-02-08,266672,1582
2021-02-09,306740,1820
2021-02-10,366751,2177
2021-02-11,455322,2674
2021-02-12,559202,3318
2021-02-13,664454,4004
2021-02-14,705677,4256
2021-02-15,752157,4508
2021-02-16,816179,4879
2021-02-17,881776,5264
2021-02-18,940968,5600
2021-02-19,979384,5824
2021-02-20,1013565,6006
2021-02-21,1025591,6069
2021-02-22,1041180,6146
2021-02-23,1060500,6251
2021-02-24,1084160,6384
2021-02-25,1109948,6552
2021-02-26,1131676,6671
2021-02-27,1146999,6741
2021-02-28,1153383,6776
2021-03-01,1159277,6811
2021-03-02,1165290,6839
2021-03-03,1172094,6881
2021-03-04,1180403,6937
2021-03-05,1190042,6986
2021-03-06,1198610,7035
2021-03-07,1201081,7042
2021-03-08,1205092,7063
2021-03-09,1208312,7077
2021-03-10,1211784,7098
2021-03-11,1215158,7119
2021-03-12,1219596,7140
2021-03-13,1225357,7161
2021-03-14,1228283,7168
2021-03-15,1231468,7182
2021-03-16,1234611,7189
2021-03-17,1237383,7203
2021-03-18,1240050,7217
2021-03-19,1243039,7238
2021-03-20,1246049,7252
2021-03-21,1247218,7252
2021-03-22,1248485,7259
2021-03-23,1249794,7259
2021-03-24,1250396,7266
2021-03-25,1250403,7266
total,1392391,7707
