,False,True
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,28,0
2020-12-30,98,0
2020-12-31,161,0
2021-01-01,175,0
2021-01-02,238,7
2021-01-03,280,7
2021-01-04,420,14
2021-01-05,602,21
2021-01-06,868,28
2021-01-07,1197,49
2021-01-08,1561,63
2021-01-09,1876,77
2021-01-10,2226,91
2021-01-11,2401,98
2021-01-12,2506,98
2021-01-13,2604,105
2021-01-14,2688,112
2021-01-15,2716,112
2021-01-16,2744,112
2021-01-17,2751,112
2021-01-18,2772,119
2021-01-19,2793,119
2021-01-20,2828,119
2021-01-21,2863,126
2021-01-22,2884,126
2021-01-23,2891,126
2021-01-24,2898,126
2021-01-25,2912,126
2021-01-26,2919,126
2021-01-27,2933,126
2021-01-28,2961,126
2021-01-29,3024,133
2021-01-30,3080,133
2021-01-31,3143,133
2021-02-01,3178,133
2021-02-02,3206,140
2021-02-03,3255,140
2021-02-04,3304,140
2021-02-05,3353,140
2021-02-06,3367,147
2021-02-07,3374,147
2021-02-08,3395,147
2021-02-09,3437,147
2021-02-10,3521,154
2021-02-11,3598,154
2021-02-12,3689,154
2021-02-13,3738,161
2021-02-14,3752,161
2021-02-15,3801,161
2021-02-16,3892,168
2021-02-17,3983,168
2021-02-18,4123,175
2021-02-19,4235,175
2021-02-20,4284,175
2021-02-21,4319,182
2021-02-22,4410,182
2021-02-23,4606,203
2021-02-24,4872,217
2021-02-25,5348,245
2021-02-26,5726,252
2021-02-27,6020,273
2021-02-28,6174,273
2021-03-01,6335,287
2021-03-02,6685,308
2021-03-03,7182,329
2021-03-04,7756,364
2021-03-05,8260,385
2021-03-06,8631,399
2021-03-07,8771,406
2021-03-08,9149,427
2021-03-09,9807,455
2021-03-10,10542,490
2021-03-11,11214,525
2021-03-12,11900,553
2021-03-13,12411,574
2021-03-14,12572,581
2021-03-15,13020,609
2021-03-16,13951,658
2021-03-17,15078,714
2021-03-18,15855,756
2021-03-19,15862,756
total,1331694,68089
