,False,True
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,28,0
2020-12-30,98,0
2020-12-31,161,0
2021-01-01,175,0
2021-01-02,238,7
2021-01-03,280,7
2021-01-04,413,14
2021-01-05,602,21
2021-01-06,861,28
2021-01-07,1204,49
2021-01-08,1568,56
2021-01-09,1876,70
2021-01-10,2233,84
2021-01-11,2408,91
2021-01-12,2513,91
2021-01-13,2611,98
2021-01-14,2688,105
2021-01-15,2723,105
2021-01-16,2751,105
2021-01-17,2758,105
2021-01-18,2786,105
2021-01-19,2807,105
2021-01-20,2842,105
2021-01-21,2877,105
2021-01-22,2898,105
2021-01-23,2912,112
2021-01-24,2919,112
2021-01-25,2926,112
2021-01-26,2933,112
2021-01-27,2954,112
2021-01-28,2982,112
2021-01-29,3045,112
2021-01-30,3094,119
2021-01-31,3157,119
2021-02-01,3185,126
2021-02-02,3220,126
2021-02-03,3269,126
2021-02-04,3318,133
2021-02-05,3360,140
2021-02-06,3374,140
2021-02-07,3381,140
2021-02-08,3402,140
2021-02-09,3444,140
2021-02-10,3528,147
2021-02-11,3605,147
2021-02-12,3696,154
2021-02-13,3745,154
2021-02-14,3759,154
2021-02-15,3801,154
2021-02-16,3899,161
2021-02-17,3983,161
2021-02-18,4130,161
2021-02-19,4249,168
2021-02-20,4291,168
2021-02-21,4326,168
2021-02-22,4424,175
2021-02-23,4634,182
2021-02-24,4900,189
2021-02-25,5376,210
2021-02-26,5761,224
2021-02-27,6048,238
2021-02-28,6202,245
2021-03-01,6370,252
2021-03-02,6734,266
2021-03-03,7231,280
2021-03-04,7812,308
2021-03-05,8323,329
2021-03-06,8687,350
2021-03-07,8827,350
2021-03-08,9198,378
2021-03-09,9856,399
2021-03-10,10591,441
2021-03-11,11270,469
2021-03-12,11956,497
2021-03-13,12467,525
2021-03-14,12628,532
2021-03-15,13076,553
2021-03-16,14007,602
2021-03-17,15134,658
2021-03-18,15911,707
2021-03-19,15911,707
total,1323539,76237
