,1,2,3,4,5
2020-12-27,0,0,0,0,0
2020-12-28,0,0,0,0,0
2020-12-29,7,0,7,7,7
2020-12-30,14,21,21,14,14
2020-12-31,28,28,35,28,35
2021-01-01,28,28,35,35,35
2021-01-02,35,49,49,42,49
2021-01-03,42,56,56,56,56
2021-01-04,70,84,84,91,91
2021-01-05,98,126,119,133,133
2021-01-06,112,161,175,196,231
2021-01-07,161,203,266,287,315
2021-01-08,196,266,350,371,427
2021-01-09,231,308,413,448,532
2021-01-10,280,357,476,546,637
2021-01-11,308,385,511,588,686
2021-01-12,329,399,532,616,721
2021-01-13,336,413,546,651,742
2021-01-14,350,434,567,665,770
2021-01-15,350,434,567,672,784
2021-01-16,357,434,574,679,798
2021-01-17,357,441,574,679,798
2021-01-18,357,448,581,686,805
2021-01-19,364,448,588,693,812
2021-01-20,364,455,595,700,819
2021-01-21,371,462,602,714,826
2021-01-22,371,469,609,714,826
2021-01-23,371,469,609,714,833
2021-01-24,371,469,616,714,840
2021-01-25,371,476,616,721,840
2021-01-26,371,476,616,728,840
2021-01-27,378,476,623,728,847
2021-01-28,378,483,623,742,854
2021-01-29,378,497,637,763,875
2021-01-30,385,504,651,770,889
2021-01-31,392,518,665,791,910
2021-02-01,392,525,672,805,910
2021-02-02,392,525,679,812,917
2021-02-03,399,532,686,826,931
2021-02-04,406,539,700,840,945
2021-02-05,406,553,714,854,959
2021-02-06,406,553,714,854,959
2021-02-07,406,560,721,861,959
2021-02-08,406,560,728,868,966
2021-02-09,413,567,735,882,980
2021-02-10,427,581,749,903,1001
2021-02-11,434,595,770,917,1022
2021-02-12,441,609,784,938,1057
2021-02-13,448,616,798,952,1071
2021-02-14,448,616,798,959,1078
2021-02-15,455,623,805,973,1085
2021-02-16,469,644,819,1001,1113
2021-02-17,483,658,847,1022,1141
2021-02-18,490,672,875,1057,1183
2021-02-19,504,686,896,1092,1218
2021-02-20,511,700,910,1099,1232
2021-02-21,518,707,917,1106,1246
2021-02-22,525,721,931,1134,1281
2021-02-23,553,749,994,1190,1323
2021-02-24,581,798,1050,1246,1407
2021-02-25,616,868,1134,1358,1617
2021-02-26,651,938,1211,1435,1764
2021-02-27,686,1001,1281,1498,1834
2021-02-28,714,1036,1323,1533,1869
2021-03-01,742,1064,1351,1582,1918
2021-03-02,784,1127,1421,1673,2016
2021-03-03,833,1225,1519,1806,2156
2021-03-04,931,1358,1631,1939,2289
2021-03-05,980,1449,1750,2072,2429
2021-03-06,1022,1505,1834,2184,2534
2021-03-07,1036,1519,1869,2212,2576
2021-03-08,1099,1603,1939,2310,2674
2021-03-09,1176,1736,2079,2478,2828
2021-03-10,1281,1869,2261,2646,3031
2021-03-11,1372,2002,2415,2800,3206
2021-03-12,1470,2121,2569,2961,3409
2021-03-13,1540,2205,2660,3094,3563
2021-03-14,1554,2226,2716,3129,3612
2021-03-15,1631,2317,2828,3241,3710
2021-03-16,1771,2485,3059,3493,3920
2021-03-17,1974,2730,3318,3787,4200
2021-03-18,2303,3031,3682,4165,4543
2021-03-19,2667,3395,3997,4536,4851
2021-03-20,2940,3633,4270,4879,5173
2021-03-21,2996,3710,4382,4991,5313
2021-03-22,3178,3906,4620,5257,5565
2021-03-23,3521,4256,5047,5656,5964
2021-03-24,3808,4690,5586,6090,6363
2021-03-25,3815,4697,5586,6097,6363
total,215180,253841,287784,311808,331478
